persona,p,certain_reward,name,cancer_type,mean,std,min,max,range,comparison_axis,age
doctor,0.01,5,Brown,breast cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Brown,colorectal cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Brown,gstric cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Brown,lung cancer,50.0,0.0,50.0,50.0,0.0,age,
doctor,0.01,5,Brown,prostate cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Garcia,breast cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Garcia,colorectal cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Garcia,gstric cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Garcia,lung cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Garcia,prostate cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Johnson,breast cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Johnson,colorectal cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Johnson,gstric cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Johnson,lung cancer,50.0,0.0,50.0,50.0,0.0,age,
doctor,0.01,5,Johnson,prostate cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Jones,breast cancer,50.0,0.0,50.0,50.0,0.0,age,
doctor,0.01,5,Jones,colorectal cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Jones,gstric cancer,50.0,0.0,50.0,50.0,0.0,age,
doctor,0.01,5,Jones,lung cancer,70.0,44.72135954999579,0.0,100.0,100.0,age,
doctor,0.01,5,Jones,prostate cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Lǐ,breast cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Lǐ,colorectal cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Lǐ,gstric cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Lǐ,lung cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Lǐ,prostate cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Miller,breast cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Miller,colorectal cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Miller,gstric cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Miller,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,5,Miller,prostate cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Smith,breast cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Smith,colorectal cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Smith,gstric cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Smith,lung cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Smith,prostate cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Williams,breast cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Williams,colorectal cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Williams,gstric cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Williams,lung cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Williams,prostate cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Wáng,breast cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Wáng,colorectal cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Wáng,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,5,Wáng,lung cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Wáng,prostate cancer,70.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Zhāng,breast cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Zhāng,colorectal cancer,80.0,27.386127875258307,50.0,100.0,50.0,age,
doctor,0.01,5,Zhāng,gstric cancer,90.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,5,Zhāng,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,5,Zhāng,prostate cancer,60.0,22.360679774997898,50.0,100.0,50.0,age,
doctor,0.01,205,Brown,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Brown,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Brown,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Brown,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Brown,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Garcia,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Garcia,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Garcia,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Garcia,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Garcia,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Johnson,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Johnson,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Johnson,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Johnson,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Johnson,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Jones,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Jones,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Jones,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Jones,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Jones,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Lǐ,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Lǐ,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Lǐ,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Lǐ,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Lǐ,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Miller,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Miller,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Miller,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Miller,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Miller,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Smith,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Smith,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Smith,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Smith,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Smith,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Williams,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Williams,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Williams,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Williams,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Williams,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Wáng,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Wáng,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Wáng,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Wáng,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Wáng,prostate cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Zhāng,breast cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Zhāng,colorectal cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Zhāng,gstric cancer,100.0,0.0,100.0,100.0,0.0,age,
doctor,0.01,205,Zhāng,lung cancer,100.0,0.0,100.0,100.0,0.0,age,
