persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,26,0,4,9,13,17,9,0.346,34.5,17.936,0.342
doctor,0.01,11.0,100.0,26,0,12,1,13,25,1,0.038,51.685,1.993,0.037
doctor,0.01,21.0,100.0,26,1,13,0,12,25,1,0.038,51.84,2.148,0.04
doctor,0.01,31.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.01,41.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.01,51.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.01,61.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.01,71.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.01,81.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.01,91.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.11,1.0,100.0,26,2,0,13,11,11,15,0.577,21.921,30.203,0.579
doctor,0.11,11.0,100.0,26,1,7,6,12,19,7,0.269,38.951,14.105,0.266
doctor,0.11,21.0,100.0,26,3,10,3,10,20,6,0.231,41.41,12.423,0.231
doctor,0.11,31.0,100.0,26,0,11,2,13,24,2,0.077,49.537,3.986,0.074
doctor,0.11,41.0,100.0,26,1,12,1,12,24,2,0.077,49.692,4.141,0.077
doctor,0.11,51.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.11,61.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.11,71.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.11,81.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.11,91.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.21,1.0,100.0,26,11,2,11,2,4,22,0.846,8.282,45.551,0.846
doctor,0.21,11.0,100.0,26,6,2,11,7,9,17,0.654,18.246,34.81,0.656
doctor,0.21,21.0,100.0,26,10,9,4,3,12,14,0.538,25.312,29.453,0.538
doctor,0.21,31.0,100.0,26,8,11,2,5,16,10,0.385,33.594,21.171,0.387
doctor,0.21,41.0,100.0,26,3,12,1,10,22,4,0.154,45.706,8.437,0.156
doctor,0.21,51.0,100.0,26,2,13,0,11,24,2,0.077,49.847,4.296,0.079
doctor,0.21,61.0,100.0,26,7,13,0,6,19,7,0.269,39.883,15.037,0.274
doctor,0.21,71.0,100.0,26,1,13,0,12,25,1,0.038,51.84,2.148,0.04
doctor,0.21,81.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.21,91.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.31,1.0,100.0,26,12,0,13,1,1,25,0.962,1.993,51.685,0.963
doctor,0.31,11.0,100.0,26,8,1,12,5,6,20,0.769,12.112,41.1,0.772
doctor,0.31,21.0,100.0,26,12,0,13,1,1,25,0.962,1.993,51.685,0.963
doctor,0.31,31.0,100.0,26,12,5,8,1,6,20,0.769,12.734,41.721,0.766
doctor,0.31,41.0,100.0,26,3,11,2,10,21,5,0.192,43.558,10.43,0.193
doctor,0.31,51.0,100.0,26,9,10,3,4,14,12,0.462,29.453,25.312,0.462
doctor,0.31,61.0,100.0,26,5,12,1,8,20,6,0.231,41.721,12.734,0.234
doctor,0.31,71.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.31,81.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.31,91.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.41,1.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.41,11.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.41,21.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.41,31.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.41,41.0,100.0,26,9,9,4,4,13,13,0.5,27.305,27.305,0.5
doctor,0.41,51.0,100.0,26,12,5,8,1,6,20,0.769,12.734,41.721,0.766
doctor,0.41,61.0,100.0,26,11,9,4,2,11,15,0.577,23.319,31.601,0.575
doctor,0.41,71.0,100.0,26,8,13,0,5,18,8,0.308,37.89,17.185,0.312
doctor,0.41,81.0,100.0,26,6,11,2,7,18,8,0.308,37.58,16.875,0.31
doctor,0.41,91.0,100.0,26,0,13,0,13,26,0,0.0,53.833,0.0,0.0
doctor,0.51,1.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.51,11.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.51,21.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.51,31.0,100.0,26,13,0,13,0,0,26,1.0,0.0,53.833,1.0
doctor,0.51,41.0,100.0,26,13,2,11,0,2,24,0.923,4.296,49.847,0.921
doctor,0.51,51.0,100.0,26,13,9,4,0,9,17,0.654,19.334,35.898,0.65
doctor,0.51,61.0,100.0,26,13,10,3,0,10,16,0.615,21.482,33.905,0.612
doctor,0.51,71.0,100.0,26,13,13,0,0,13,13,0.5,27.926,27.926,0.5
