persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,10.0,1000.0,26,13,11,2,0,11,15,0.577,13.836,26.108,0.654
doctor,0.01,110.0,1000.0,26,13,1,12,0,1,25,0.962,1.258,74.889,0.983
doctor,0.01,210.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,310.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,410.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,510.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,610.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,710.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,810.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.01,910.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.11,10.0,1000.0,26,10,13,0,3,16,10,0.385,30.986,12.579,0.289
doctor,0.11,110.0,1000.0,26,13,13,0,0,13,13,0.5,16.352,16.352,0.5
doctor,0.11,210.0,1000.0,26,13,7,6,0,7,19,0.731,8.805,45.62,0.838
doctor,0.11,310.0,1000.0,26,13,6,7,0,6,20,0.769,7.547,50.499,0.87
doctor,0.11,410.0,1000.0,26,13,6,7,0,6,20,0.769,7.547,50.499,0.87
doctor,0.11,510.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.11,610.0,1000.0,26,13,1,12,0,1,25,0.962,1.258,74.889,0.983
doctor,0.11,710.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.11,810.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,79.767,1.0
doctor,0.11,910.0,1000.0,26,13,1,12,0,1,25,0.962,1.258,74.889,0.983
doctor,0.21,10.0,1000.0,26,11,13,0,2,15,11,0.423,26.108,13.836,0.346
doctor,0.21,110.0,1000.0,26,13,13,0,0,13,13,0.5,16.352,16.352,0.5
