persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,26,9,1,12,4,5,21,0.808,9.895,41.906,0.809
doctor,0.01,22.0,200.0,26,3,2,11,10,12,14,0.538,23.72,27.722,0.539
doctor,0.01,42.0,200.0,26,3,4,9,10,14,12,0.462,27.794,23.792,0.461
doctor,0.01,62.0,200.0,26,1,6,7,12,18,8,0.308,35.796,15.79,0.306
doctor,0.01,82.0,200.0,26,0,12,1,13,25,1,0.038,49.98,1.965,0.038
doctor,0.01,102.0,200.0,26,0,11,2,13,24,2,0.077,47.944,3.929,0.076
doctor,0.01,122.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.01,142.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.01,162.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.01,182.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.11,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.11,22.0,200.0,26,11,2,11,2,4,22,0.846,8.003,44.014,0.846
doctor,0.11,42.0,200.0,26,8,4,9,5,9,17,0.654,17.97,33.975,0.654
doctor,0.11,62.0,200.0,26,4,6,7,9,15,11,0.423,29.902,21.899,0.423
doctor,0.11,82.0,200.0,26,4,13,0,9,22,4,0.154,44.158,8.146,0.156
doctor,0.11,102.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.11,122.0,200.0,26,1,13,0,12,25,1,0.038,50.052,2.037,0.039
doctor,0.11,142.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.11,162.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.11,182.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.21,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.21,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.21,42.0,200.0,26,11,3,10,2,5,21,0.808,10.039,42.049,0.807
doctor,0.21,62.0,200.0,26,9,4,9,4,8,18,0.692,16.005,36.012,0.692
doctor,0.21,82.0,200.0,26,5,9,4,8,17,9,0.346,34.047,18.042,0.346
doctor,0.21,102.0,200.0,26,6,13,0,7,20,6,0.231,40.228,12.219,0.233
doctor,0.21,122.0,200.0,26,3,13,0,10,23,3,0.115,46.123,6.11,0.117
doctor,0.21,142.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.21,162.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.21,182.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.31,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.31,22.0,200.0,26,12,0,13,1,1,25,0.962,1.965,49.98,0.962
doctor,0.31,42.0,200.0,26,11,1,12,2,3,23,0.885,5.966,45.979,0.885
doctor,0.31,62.0,200.0,26,11,4,9,2,6,20,0.769,12.076,40.085,0.768
doctor,0.31,82.0,200.0,26,4,9,4,9,18,8,0.308,36.012,16.005,0.308
doctor,0.31,102.0,200.0,26,7,13,0,6,19,7,0.269,38.264,14.256,0.271
doctor,0.31,122.0,200.0,26,7,13,0,6,19,7,0.269,38.264,14.256,0.271
doctor,0.31,142.0,200.0,26,2,13,0,11,24,2,0.077,48.087,4.073,0.078
doctor,0.31,162.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.31,182.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.41,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.41,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.41,42.0,200.0,26,11,0,13,2,2,24,0.923,3.929,47.944,0.924
doctor,0.41,62.0,200.0,26,12,0,13,1,1,25,0.962,1.965,49.98,0.962
doctor,0.41,82.0,200.0,26,10,3,10,3,6,20,0.769,12.004,40.013,0.769
doctor,0.41,102.0,200.0,26,9,12,1,4,16,10,0.385,32.298,20.294,0.386
doctor,0.41,122.0,200.0,26,9,12,1,4,16,10,0.385,32.298,20.294,0.386
doctor,0.41,142.0,200.0,26,9,13,0,4,17,9,0.346,34.334,18.329,0.348
doctor,0.41,162.0,200.0,26,1,13,0,12,25,1,0.038,50.052,2.037,0.039
doctor,0.41,182.0,200.0,26,0,13,0,13,26,0,0.0,52.017,0.0,0.0
doctor,0.51,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.51,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.51,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.51,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.51,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.51,102.0,200.0,26,13,3,10,0,3,23,0.885,6.11,46.123,0.883
doctor,0.51,122.0,200.0,26,13,10,3,0,10,16,0.615,20.366,32.369,0.614
doctor,0.51,142.0,200.0,26,13,12,1,0,12,14,0.538,24.439,28.44,0.538
doctor,0.51,162.0,200.0,26,8,13,0,5,18,8,0.308,36.299,16.292,0.31
doctor,0.51,182.0,200.0,26,2,13,0,11,24,2,0.077,48.087,4.073,0.078
doctor,0.61,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.61,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.61,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
doctor,0.61,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.017,1.0
