persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,26,6,12,1,7,19,7,0.269,43.553,17.809,0.29
doctor,0.01,11.0,100.0,26,1,13,0,12,25,1,0.038,54.191,2.704,0.048
doctor,0.01,21.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.01,31.0,100.0,26,2,13,0,11,24,2,0.077,52.604,5.407,0.093
doctor,0.01,41.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.01,51.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.01,61.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.01,71.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.01,81.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.01,91.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.11,1.0,100.0,26,8,0,13,5,5,21,0.808,7.935,42.26,0.842
doctor,0.11,11.0,100.0,26,3,0,13,10,10,16,0.615,15.87,28.742,0.644
doctor,0.11,21.0,100.0,26,1,1,12,12,13,13,0.5,21.747,21.747,0.5
doctor,0.11,31.0,100.0,26,1,8,5,12,20,6,0.231,40.673,10.639,0.207
doctor,0.11,41.0,100.0,26,0,7,6,13,20,6,0.231,39.556,9.522,0.194
doctor,0.11,51.0,100.0,26,0,12,1,13,25,1,0.038,53.074,1.587,0.029
doctor,0.11,61.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.11,71.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.11,81.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.11,91.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.21,1.0,100.0,26,10,0,13,3,3,23,0.885,4.761,47.667,0.909
doctor,0.21,11.0,100.0,26,8,0,13,5,5,21,0.808,7.935,42.26,0.842
doctor,0.21,21.0,100.0,26,5,0,13,8,8,18,0.692,12.696,34.149,0.729
doctor,0.21,31.0,100.0,26,3,0,13,10,10,16,0.615,15.87,28.742,0.644
doctor,0.21,41.0,100.0,26,1,1,12,12,13,13,0.5,21.747,21.747,0.5
doctor,0.21,51.0,100.0,26,1,2,11,12,14,12,0.462,24.451,20.16,0.452
doctor,0.21,61.0,100.0,26,0,7,6,13,20,6,0.231,39.556,9.522,0.194
doctor,0.21,71.0,100.0,26,0,4,9,13,17,9,0.346,31.445,14.283,0.312
doctor,0.21,81.0,100.0,26,0,12,1,13,25,1,0.038,53.074,1.587,0.029
doctor,0.21,91.0,100.0,26,0,13,0,13,26,0,0.0,55.778,0.0,0.0
doctor,0.31,1.0,100.0,26,12,0,13,1,1,25,0.962,1.587,53.074,0.971
doctor,0.31,11.0,100.0,26,9,0,13,4,4,22,0.846,6.348,44.963,0.876
doctor,0.31,21.0,100.0,26,6,0,13,7,7,19,0.731,11.109,36.853,0.768
