persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,122.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,142.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.01,162.0,200.0,26,12,0,13,1,1,25,0.962,1.987,49.989,0.962
doctor,0.01,182.0,200.0,26,10,0,13,3,3,23,0.885,5.962,45.963,0.885
doctor,0.11,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,122.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,142.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,162.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.11,182.0,200.0,26,12,0,13,1,1,25,0.962,1.987,49.989,0.962
doctor,0.21,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,122.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,142.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,162.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
doctor,0.21,182.0,200.0,26,11,0,13,2,2,24,0.923,3.975,47.976,0.923
doctor,0.31,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.002,1.0
