persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,22,4,0,11,7,7,15,0.682,8.851,33.038,0.789
doctor,0.01,22.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.01,42.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.01,62.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.01,82.0,200.0,22,0,1,10,11,12,10,0.455,18.691,12.644,0.404
doctor,0.01,102.0,200.0,22,0,10,1,11,21,1,0.045,61.734,1.264,0.02
doctor,0.01,122.0,200.0,22,0,11,0,11,22,0,0.0,66.517,0.0,0.0
doctor,0.01,142.0,200.0,22,0,11,0,11,22,0,0.0,66.517,0.0,0.0
doctor,0.01,162.0,200.0,22,0,11,0,11,22,0,0.0,66.517,0.0,0.0
doctor,0.01,182.0,200.0,22,0,11,0,11,22,0,0.0,66.517,0.0,0.0
doctor,0.11,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.11,22.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.11,42.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.11,62.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.11,82.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.11,102.0,200.0,22,0,1,10,11,12,10,0.455,18.691,12.644,0.404
doctor,0.11,122.0,200.0,22,0,7,4,11,18,4,0.182,47.386,5.057,0.096
doctor,0.11,142.0,200.0,22,0,6,5,11,17,5,0.227,42.604,6.322,0.129
doctor,0.11,162.0,200.0,22,0,11,0,11,22,0,0.0,66.517,0.0,0.0
doctor,0.11,182.0,200.0,22,0,11,0,11,22,0,0.0,66.517,0.0,0.0
doctor,0.21,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.21,22.0,200.0,22,2,0,11,9,9,13,0.591,11.379,23.473,0.674
doctor,0.21,42.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.21,62.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.21,82.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.21,102.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.21,122.0,200.0,22,0,2,9,11,13,9,0.409,23.473,11.379,0.326
doctor,0.21,142.0,200.0,22,0,2,9,11,13,9,0.409,23.473,11.379,0.326
doctor,0.21,162.0,200.0,22,0,1,10,11,12,10,0.455,18.691,12.644,0.404
doctor,0.21,182.0,200.0,22,0,4,7,11,15,7,0.318,33.038,8.851,0.211
doctor,0.31,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.31,22.0,200.0,22,3,0,11,8,8,14,0.636,10.115,28.256,0.736
doctor,0.31,42.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,62.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,82.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,102.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,122.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,142.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,162.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.31,182.0,200.0,22,0,3,8,11,14,8,0.364,28.256,10.115,0.264
doctor,0.41,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.41,22.0,200.0,22,9,0,11,2,2,20,0.909,2.529,56.952,0.957
doctor,0.41,42.0,200.0,22,1,0,11,10,10,12,0.545,12.644,18.691,0.596
doctor,0.41,62.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.41,82.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.41,102.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.41,122.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.41,142.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.41,162.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.41,182.0,200.0,22,0,1,10,11,12,10,0.455,18.691,12.644,0.404
doctor,0.51,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.51,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.51,42.0,200.0,22,10,0,11,1,1,21,0.955,1.264,61.734,0.98
doctor,0.51,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.51,82.0,200.0,22,2,0,11,9,9,13,0.591,11.379,23.473,0.674
doctor,0.51,102.0,200.0,22,1,0,11,10,10,12,0.545,12.644,18.691,0.596
doctor,0.51,122.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.51,142.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.51,162.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.51,182.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.61,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.61,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.61,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.61,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.61,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.61,102.0,200.0,22,4,0,11,7,7,15,0.682,8.851,33.038,0.789
doctor,0.61,122.0,200.0,22,1,0,11,10,10,12,0.545,12.644,18.691,0.596
doctor,0.61,142.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.61,162.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.61,182.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
doctor,0.71,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.71,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.71,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.71,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.71,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,66.517,1.0
doctor,0.71,102.0,200.0,22,10,0,11,1,1,21,0.955,1.264,61.734,0.98
doctor,0.71,122.0,200.0,22,5,0,11,6,6,16,0.727,7.586,37.821,0.833
doctor,0.71,142.0,200.0,22,3,0,11,8,8,14,0.636,10.115,28.256,0.736
doctor,0.71,162.0,200.0,22,0,0,11,11,11,11,0.5,13.908,13.908,0.5
