persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,6.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.01,66.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.01,126.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.01,186.0,600.0,22,0,5,6,11,16,6,0.273,38.089,7.56,0.166
doctor,0.01,246.0,600.0,22,0,6,5,11,17,5,0.227,42.935,6.3,0.128
doctor,0.01,306.0,600.0,22,0,9,2,11,20,2,0.091,57.473,2.52,0.042
doctor,0.01,366.0,600.0,22,0,11,0,11,22,0,0.0,67.164,0.0,0.0
doctor,0.01,426.0,600.0,22,0,11,0,11,22,0,0.0,67.164,0.0,0.0
doctor,0.01,486.0,600.0,22,0,11,0,11,22,0,0.0,67.164,0.0,0.0
doctor,0.01,546.0,600.0,22,0,11,0,11,22,0,0.0,67.164,0.0,0.0
doctor,0.11,6.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.11,66.0,600.0,22,0,1,10,11,12,10,0.455,18.706,12.6,0.402
doctor,0.11,126.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.11,186.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.11,246.0,600.0,22,0,0,11,11,11,11,0.5,13.86,13.86,0.5
doctor,0.11,306.0,600.0,22,0,1,10,11,12,10,0.455,18.706,12.6,0.402
doctor,0.11,366.0,600.0,22,0,11,0,11,22,0,0.0,67.164,0.0,0.0
doctor,0.11,426.0,600.0,22,0,5,6,11,16,6,0.273,38.089,7.56,0.166
doctor,0.11,486.0,600.0,22,0,7,4,11,18,4,0.182,47.781,5.04,0.095
doctor,0.11,546.0,600.0,22,0,11,0,11,22,0,0.0,67.164,0.0,0.0
