persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,50.0,5000.0,22,8,0,11,3,3,19,0.864,5.846,37.868,0.866
doctor,0.01,550.0,5000.0,22,3,2,9,8,10,12,0.545,19.697,23.7,0.546
doctor,0.01,1050.0,5000.0,22,0,7,4,11,18,4,0.182,35.814,7.795,0.179
doctor,0.01,1550.0,5000.0,22,0,6,5,11,17,5,0.227,33.76,9.743,0.224
doctor,0.01,2050.0,5000.0,22,0,5,6,11,16,6,0.273,31.706,11.692,0.269
doctor,0.01,2550.0,5000.0,22,0,10,1,11,21,1,0.045,41.976,1.949,0.044
doctor,0.01,3050.0,5000.0,22,0,11,0,11,22,0,0.0,44.031,0.0,0.0
doctor,0.01,3550.0,5000.0,22,0,11,0,11,22,0,0.0,44.031,0.0,0.0
doctor,0.01,4050.0,5000.0,22,0,11,0,11,22,0,0.0,44.031,0.0,0.0
doctor,0.01,4550.0,5000.0,22,0,11,0,11,22,0,0.0,44.031,0.0,0.0
doctor,0.11,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.11,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.11,1050.0,5000.0,22,7,0,11,4,4,18,0.818,7.795,35.814,0.821
doctor,0.11,1550.0,5000.0,22,6,0,11,5,5,17,0.773,9.743,33.76,0.776
doctor,0.11,2050.0,5000.0,22,7,0,11,4,4,18,0.818,7.795,35.814,0.821
doctor,0.11,2550.0,5000.0,22,5,0,11,6,6,16,0.727,11.692,31.706,0.731
doctor,0.11,3050.0,5000.0,22,3,0,11,8,8,14,0.636,15.589,27.597,0.639
doctor,0.11,3550.0,5000.0,22,1,1,10,10,11,11,0.5,21.54,21.54,0.5
doctor,0.11,4050.0,5000.0,22,0,8,3,11,19,3,0.136,37.868,5.846,0.134
doctor,0.11,4550.0,5000.0,22,3,11,0,8,19,3,0.136,38.185,6.162,0.139
doctor,0.21,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.21,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.21,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.21,1550.0,5000.0,22,10,0,11,1,1,21,0.955,1.949,41.976,0.956
doctor,0.21,2050.0,5000.0,22,10,0,11,1,1,21,0.955,1.949,41.976,0.956
doctor,0.21,2550.0,5000.0,22,6,0,11,5,5,17,0.773,9.743,33.76,0.776
doctor,0.21,3050.0,5000.0,22,6,0,11,5,5,17,0.773,9.743,33.76,0.776
doctor,0.21,3550.0,5000.0,22,6,0,11,5,5,17,0.773,9.743,33.76,0.776
doctor,0.21,4050.0,5000.0,22,4,0,11,7,7,15,0.682,13.64,29.652,0.685
doctor,0.21,4550.0,5000.0,22,8,8,3,3,11,11,0.5,22.279,22.279,0.5
doctor,0.31,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,1550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,2050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,2550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,3050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.31,3550.0,5000.0,22,10,0,11,1,1,21,0.955,1.949,41.976,0.956
doctor,0.31,4050.0,5000.0,22,8,0,11,3,3,19,0.864,5.846,37.868,0.866
doctor,0.31,4550.0,5000.0,22,11,1,10,0,1,21,0.955,2.054,42.082,0.953
doctor,0.41,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,1550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,2050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,2550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,3050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,3550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,4050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.41,4550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,1550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,2050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,2550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,3050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,3550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,4050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.51,4550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,1550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,2050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,2550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,3050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,3550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,4050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.61,4550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,1550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,2050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,2550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,3050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,3550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,4050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.71,4550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.81,50.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.81,550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.81,1050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.81,1550.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
doctor,0.81,2050.0,5000.0,22,11,0,11,0,0,22,1.0,0.0,44.031,1.0
