persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,10.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,110.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,210.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,310.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,410.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,510.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,610.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,710.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,810.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.01,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,10.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,110.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,210.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,310.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,410.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,510.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,610.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,710.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,810.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.11,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,10.0,1000.0,22,11,8,3,0,8,14,0.636,16.907,28.941,0.631
doctor,0.21,110.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,210.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,310.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,410.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,510.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,610.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,710.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,810.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.21,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,10.0,1000.0,22,11,9,2,0,9,13,0.591,19.02,27.043,0.587
doctor,0.31,110.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,210.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,310.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,410.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,510.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,610.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,710.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,810.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.31,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,10.0,1000.0,22,9,11,0,2,13,9,0.409,27.043,19.02,0.413
doctor,0.41,110.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,210.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,310.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,410.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,510.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,610.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,710.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,810.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.41,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.51,10.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.51,110.0,1000.0,22,0,9,2,11,20,2,0.091,39.9,3.796,0.087
doctor,0.51,210.0,1000.0,22,2,1,10,9,10,12,0.545,19.197,23.209,0.547
doctor,0.51,310.0,1000.0,22,6,0,11,5,5,17,0.773,9.491,33.56,0.78
doctor,0.51,410.0,1000.0,22,5,0,11,6,6,16,0.727,11.389,31.447,0.734
doctor,0.51,510.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.51,610.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.51,710.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.51,810.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.51,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.61,10.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.61,110.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.61,210.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.61,310.0,1000.0,22,0,9,2,11,20,2,0.091,39.9,3.796,0.087
doctor,0.61,410.0,1000.0,22,0,5,6,11,16,6,0.273,31.447,11.389,0.266
doctor,0.61,510.0,1000.0,22,0,2,9,11,13,9,0.409,25.107,17.084,0.405
doctor,0.61,610.0,1000.0,22,4,0,11,7,7,15,0.682,13.287,29.333,0.688
doctor,0.61,710.0,1000.0,22,0,0,11,11,11,11,0.5,20.88,20.88,0.5
doctor,0.61,810.0,1000.0,22,9,0,11,2,2,20,0.909,3.796,39.9,0.913
doctor,0.61,910.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
doctor,0.71,10.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.71,110.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.71,210.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.71,310.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.71,410.0,1000.0,22,0,10,1,11,21,1,0.045,42.014,1.898,0.043
doctor,0.71,510.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.71,610.0,1000.0,22,0,9,2,11,20,2,0.091,39.9,3.796,0.087
doctor,0.71,710.0,1000.0,22,1,0,11,10,10,12,0.545,18.982,22.993,0.548
doctor,0.71,810.0,1000.0,22,0,0,11,11,11,11,0.5,20.88,20.88,0.5
doctor,0.71,910.0,1000.0,22,10,0,11,1,1,21,0.955,1.898,42.014,0.957
doctor,0.81,10.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,110.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,210.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,310.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,410.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,510.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,610.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.81,710.0,1000.0,22,0,10,1,11,21,1,0.045,42.014,1.898,0.043
doctor,0.81,810.0,1000.0,22,1,2,9,10,12,10,0.455,23.209,19.197,0.453
doctor,0.81,910.0,1000.0,22,2,0,11,9,9,13,0.591,17.084,25.107,0.595
doctor,0.91,10.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,110.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,210.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,310.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,410.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,510.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,610.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,710.0,1000.0,22,0,11,0,11,22,0,0.0,44.127,0.0,0.0
doctor,0.91,810.0,1000.0,22,0,10,1,11,21,1,0.045,42.014,1.898,0.043
doctor,0.91,910.0,1000.0,22,2,0,11,9,9,13,0.591,17.084,25.107,0.595
family,0.01,10.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
family,0.01,110.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
family,0.01,210.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
family,0.01,310.0,1000.0,22,11,0,11,0,0,22,1.0,0.0,44.127,1.0
