persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.01,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.11,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,1.0,100.0,22,11,11,0,0,11,11,0.5,21.947,21.947,0.5
doctor,0.21,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.21,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,1.0,100.0,22,11,10,1,0,10,12,0.545,19.952,23.952,0.546
doctor,0.31,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.31,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.41,1.0,100.0,22,11,11,0,0,11,11,0.5,21.947,21.947,0.5
doctor,0.41,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.41,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.41,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
doctor,0.41,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.0,1.0
