persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,0.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,3.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,6.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,9.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,12.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,15.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,18.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,21.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,24.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.01,27.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,0.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,3.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,6.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,9.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,12.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,15.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,18.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,21.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,24.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.11,27.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,0.3,30.0,22,10,10,1,1,11,11,0.5,20.257,20.257,0.5
doctor,0.21,3.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,6.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,9.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,12.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,15.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,18.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,21.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,24.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.21,27.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,0.3,30.0,22,0,11,0,11,22,0,0.0,44.545,0.0,0.0
doctor,0.31,3.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,6.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,9.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,12.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,15.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,18.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,21.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,24.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.31,27.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.41,0.3,30.0,22,0,11,0,11,22,0,0.0,44.545,0.0,0.0
doctor,0.41,3.3,30.0,22,11,6,5,0,6,16,0.727,10.805,31.053,0.742
doctor,0.41,6.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
doctor,0.41,9.3,30.0,22,11,0,11,0,0,22,1.0,0.0,44.545,1.0
