persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,102.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,122.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,142.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.01,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,2.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,102.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,122.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,142.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.11,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,2.0,200.0,22,11,10,1,0,10,12,0.545,19.103,23.112,0.547
doctor,0.21,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,102.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,122.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,142.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.21,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,2.0,200.0,22,11,9,2,0,9,13,0.591,17.192,25.21,0.595
doctor,0.31,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,102.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,122.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,142.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.31,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,2.0,200.0,22,1,11,0,10,21,1,0.045,41.999,1.91,0.043
doctor,0.41,22.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,42.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,62.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,102.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,122.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,142.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.41,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.51,2.0,200.0,22,0,11,0,11,22,0,0.0,44.097,0.0,0.0
doctor,0.51,22.0,200.0,22,8,11,0,3,14,8,0.364,27.309,15.282,0.359
doctor,0.51,42.0,200.0,22,11,5,6,0,5,17,0.773,9.551,33.604,0.779
doctor,0.51,62.0,200.0,22,11,3,8,0,3,19,0.864,5.731,37.802,0.868
doctor,0.51,82.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.51,102.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.51,122.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.51,142.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.51,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.51,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.61,2.0,200.0,22,0,11,0,11,22,0,0.0,44.097,0.0,0.0
doctor,0.61,22.0,200.0,22,0,11,0,11,22,0,0.0,44.097,0.0,0.0
doctor,0.61,42.0,200.0,22,3,11,0,8,19,3,0.136,37.802,5.731,0.132
doctor,0.61,62.0,200.0,22,8,11,0,3,14,8,0.364,27.309,15.282,0.359
doctor,0.61,82.0,200.0,22,11,11,0,0,11,11,0.5,21.013,21.013,0.5
doctor,0.61,102.0,200.0,22,8,3,8,3,6,16,0.727,12.027,32.071,0.727
doctor,0.61,122.0,200.0,22,10,0,11,1,1,21,0.955,2.099,42.187,0.953
doctor,0.61,142.0,200.0,22,10,0,11,1,1,21,0.955,2.099,42.187,0.953
doctor,0.61,162.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
doctor,0.61,182.0,200.0,22,11,0,11,0,0,22,1.0,0.0,44.097,1.0
