persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.01,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.11,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.21,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.31,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,1.0,100.0,22,1,11,0,10,21,1,0.045,42.259,2.124,0.048
doctor,0.41,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.41,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,1.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.51,11.0,100.0,22,4,4,7,7,11,11,0.5,21.724,21.724,0.5
doctor,0.51,21.0,100.0,22,9,0,11,2,2,20,0.909,3.78,39.902,0.913
doctor,0.51,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.51,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.61,1.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.61,11.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.61,21.0,100.0,22,0,8,3,11,19,3,0.136,37.779,5.67,0.13
doctor,0.61,31.0,100.0,22,4,0,11,7,7,15,0.682,13.23,29.285,0.689
doctor,0.61,41.0,100.0,22,2,0,11,9,9,13,0.591,17.01,25.037,0.595
doctor,0.61,51.0,100.0,22,2,0,11,9,9,13,0.591,17.01,25.037,0.595
doctor,0.61,61.0,100.0,22,4,0,11,7,7,15,0.682,13.23,29.285,0.689
doctor,0.61,71.0,100.0,22,10,0,11,1,1,21,0.955,1.89,42.026,0.957
doctor,0.61,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.61,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.71,1.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.71,11.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.71,21.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.71,31.0,100.0,22,0,9,2,11,20,2,0.091,39.902,3.78,0.087
doctor,0.71,41.0,100.0,22,0,3,8,11,14,8,0.364,27.161,15.12,0.358
doctor,0.71,51.0,100.0,22,0,1,10,11,12,10,0.455,22.914,18.9,0.452
doctor,0.71,61.0,100.0,22,0,0,11,11,11,11,0.5,20.79,20.79,0.5
doctor,0.71,71.0,100.0,22,2,0,11,9,9,13,0.591,17.01,25.037,0.595
doctor,0.71,81.0,100.0,22,7,0,11,4,4,18,0.818,7.56,35.655,0.825
doctor,0.71,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
doctor,0.81,1.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.81,11.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.81,21.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.81,31.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.81,41.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.81,51.0,100.0,22,0,8,3,11,19,3,0.136,37.779,5.67,0.13
doctor,0.81,61.0,100.0,22,0,4,7,11,15,7,0.318,29.285,13.23,0.311
doctor,0.81,71.0,100.0,22,0,0,11,11,11,11,0.5,20.79,20.79,0.5
doctor,0.81,81.0,100.0,22,3,0,11,8,8,14,0.636,15.12,27.161,0.642
doctor,0.81,91.0,100.0,22,5,0,11,6,6,16,0.727,11.34,31.408,0.735
doctor,0.91,1.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,11.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,21.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,31.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,41.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,51.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,61.0,100.0,22,0,11,0,11,22,0,0.0,44.149,0.0,0.0
doctor,0.91,71.0,100.0,22,0,8,3,11,19,3,0.136,37.779,5.67,0.13
doctor,0.91,81.0,100.0,22,0,1,10,11,12,10,0.455,22.914,18.9,0.452
doctor,0.91,91.0,100.0,22,4,0,11,7,7,15,0.682,13.23,29.285,0.689
family,0.01,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.01,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.11,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.21,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,1.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,81.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.31,91.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,1.0,100.0,22,6,10,1,5,15,7,0.318,30.686,14.631,0.323
family,0.41,11.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,21.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,31.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,41.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,51.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,61.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
family,0.41,71.0,100.0,22,11,0,11,0,0,22,1.0,0.0,44.149,1.0
