persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.01,22.0,200.0,22,0,1,10,11,12,10,0.455,19.127,12.055,0.387
doctor,0.01,42.0,200.0,22,0,5,6,11,16,6,0.273,42.594,7.233,0.145
doctor,0.01,62.0,200.0,22,0,9,2,11,20,2,0.091,66.06,2.411,0.035
doctor,0.01,82.0,200.0,22,0,10,1,11,21,1,0.045,71.927,1.205,0.016
doctor,0.01,102.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.01,122.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.01,142.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.01,162.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.01,182.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.11,2.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.11,22.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.11,42.0,200.0,22,0,3,8,11,14,8,0.364,30.86,9.644,0.238
doctor,0.11,62.0,200.0,22,0,6,5,11,17,5,0.227,48.46,6.027,0.111
doctor,0.11,82.0,200.0,22,0,8,3,11,19,3,0.136,60.194,3.616,0.057
doctor,0.11,102.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.11,122.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.11,142.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.11,162.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.11,182.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.21,2.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.21,22.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.21,42.0,200.0,22,0,1,10,11,12,10,0.455,19.127,12.055,0.387
doctor,0.21,62.0,200.0,22,0,3,8,11,14,8,0.364,30.86,9.644,0.238
doctor,0.21,82.0,200.0,22,0,6,5,11,17,5,0.227,48.46,6.027,0.111
doctor,0.21,102.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.21,122.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.21,142.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.21,162.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.21,182.0,200.0,22,0,11,0,11,22,0,0.0,77.794,0.0,0.0
doctor,0.31,2.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.31,22.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.31,42.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
doctor,0.31,62.0,200.0,22,0,0,11,11,11,11,0.5,13.26,13.26,0.5
