persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,5.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.01,55.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,105.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,155.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,205.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,255.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,305.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,355.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,405.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.01,455.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,5.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.11,55.0,500.0,22,0,1,10,11,12,10,0.455,18.799,12.413,0.398
doctor,0.11,105.0,500.0,22,0,9,2,11,20,2,0.091,59.952,2.483,0.04
doctor,0.11,155.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,205.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,255.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,305.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,355.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,405.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.11,455.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,5.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.21,55.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.21,105.0,500.0,22,0,3,8,11,14,8,0.364,29.087,9.93,0.255
doctor,0.21,155.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,205.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,255.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,305.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,355.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,405.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.21,455.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.31,5.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.31,55.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.31,105.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.31,155.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.31,205.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.31,255.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.31,305.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.31,355.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.31,405.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.31,455.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.41,5.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.41,55.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.41,105.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.41,155.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.41,205.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.41,255.0,500.0,22,0,10,1,11,21,1,0.045,65.096,1.241,0.019
doctor,0.41,305.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.41,355.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.41,405.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.41,455.0,500.0,22,0,11,0,11,22,0,0.0,70.24,0.0,0.0
doctor,0.51,5.0,500.0,22,1,0,11,10,10,12,0.545,12.413,18.799,0.602
doctor,0.51,55.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,105.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,155.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,205.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,255.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,305.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,355.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.51,405.0,500.0,22,0,2,9,11,13,9,0.409,23.943,11.172,0.318
doctor,0.51,455.0,500.0,22,0,6,5,11,17,5,0.227,44.519,6.207,0.122
doctor,0.61,5.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,55.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,105.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,155.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,205.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,255.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,305.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,355.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,405.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.61,455.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.71,5.0,500.0,22,11,0,11,0,0,22,1.0,0.0,70.24,1.0
doctor,0.71,55.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.71,105.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.71,155.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
doctor,0.71,205.0,500.0,22,0,0,11,11,11,11,0.5,13.654,13.654,0.5
