persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,0.5,50.0,22,2,0,11,9,9,13,0.591,14.678,23.11,0.612
doctor,0.01,5.5,50.0,22,0,0,11,11,11,11,0.5,17.939,17.939,0.5
doctor,0.01,10.5,50.0,22,0,7,4,11,18,4,0.182,36.036,6.523,0.153
doctor,0.01,15.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.01,20.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.01,25.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.01,30.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.01,35.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.01,40.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.01,45.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,0.5,50.0,22,2,0,11,9,9,13,0.591,14.678,23.11,0.612
doctor,0.11,5.5,50.0,22,0,0,11,11,11,11,0.5,17.939,17.939,0.5
doctor,0.11,10.5,50.0,22,0,0,11,11,11,11,0.5,17.939,17.939,0.5
doctor,0.11,15.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,20.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,25.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,30.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,35.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,40.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.11,45.5,50.0,22,0,11,0,11,22,0,0.0,46.376,0.0,0.0
doctor,0.21,0.5,50.0,22,10,0,11,1,1,21,0.955,1.631,43.791,0.964
doctor,0.21,5.5,50.0,22,0,0,11,11,11,11,0.5,17.939,17.939,0.5
