persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,26,13,0,13,0,0,26,1.0,0.0,54.455,1.0
doctor,0.01,11.0,100.0,26,13,11,2,0,11,15,0.577,18.147,26.525,0.594
doctor,0.01,21.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.01,31.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.01,41.0,100.0,26,12,13,0,1,14,12,0.462,23.986,19.797,0.452
doctor,0.01,51.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.01,61.0,100.0,26,12,13,0,1,14,12,0.462,23.986,19.797,0.452
doctor,0.01,71.0,100.0,26,12,13,0,1,14,12,0.462,23.986,19.797,0.452
doctor,0.01,81.0,100.0,26,10,13,0,3,16,10,0.385,29.064,16.497,0.362
doctor,0.01,91.0,100.0,26,12,13,0,1,14,12,0.462,23.986,19.797,0.452
doctor,0.11,1.0,100.0,26,13,0,13,0,0,26,1.0,0.0,54.455,1.0
doctor,0.11,11.0,100.0,26,13,8,5,0,8,18,0.692,13.198,34.142,0.721
doctor,0.11,21.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,31.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,41.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,51.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,61.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,71.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,81.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.11,91.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.21,1.0,100.0,26,13,0,13,0,0,26,1.0,0.0,54.455,1.0
doctor,0.21,11.0,100.0,26,13,0,13,0,0,26,1.0,0.0,54.455,1.0
doctor,0.21,21.0,100.0,26,13,3,10,0,3,23,0.885,4.949,46.837,0.904
doctor,0.21,31.0,100.0,26,13,9,4,0,9,17,0.654,14.848,31.603,0.68
doctor,0.21,41.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.21,51.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
doctor,0.21,61.0,100.0,26,13,13,0,0,13,13,0.5,21.447,21.447,0.5
