persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,7.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.01,77.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.01,147.0,700.0,26,13,10,3,0,10,16,0.615,20.031,32.031,0.615
doctor,0.01,217.0,700.0,26,13,11,2,0,11,15,0.577,22.034,30.034,0.577
doctor,0.01,287.0,700.0,26,13,7,6,0,7,19,0.731,14.022,38.022,0.731
doctor,0.01,357.0,700.0,26,13,4,9,0,4,22,0.846,8.012,44.012,0.846
doctor,0.01,427.0,700.0,26,13,10,3,0,10,16,0.615,20.031,32.031,0.615
doctor,0.01,497.0,700.0,26,13,11,2,0,11,15,0.577,22.034,30.034,0.577
doctor,0.01,567.0,700.0,26,13,12,1,0,12,14,0.538,24.037,28.037,0.538
doctor,0.01,637.0,700.0,26,13,12,1,0,12,14,0.538,24.037,28.037,0.538
doctor,0.11,7.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,77.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,147.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,217.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,287.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,357.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,427.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,497.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
doctor,0.11,567.0,700.0,26,13,0,13,0,0,26,1.0,0.0,52.0,1.0
