persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.01,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.01,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.01,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.01,2050.0,5000.0,26,6,0,13,7,7,19,0.731,9.433,40.779,0.812
doctor,0.01,2550.0,5000.0,26,7,0,13,6,6,20,0.769,8.086,44.656,0.847
doctor,0.01,3050.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.01,3550.0,5000.0,26,2,0,13,11,11,15,0.577,14.824,25.272,0.63
doctor,0.01,4050.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.01,4550.0,5000.0,26,0,2,11,13,15,11,0.423,25.272,14.824,0.37
doctor,0.11,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.11,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.11,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.11,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.11,2050.0,5000.0,26,7,0,13,6,6,20,0.769,8.086,44.656,0.847
doctor,0.11,2550.0,5000.0,26,7,0,13,6,6,20,0.769,8.086,44.656,0.847
doctor,0.11,3050.0,5000.0,26,2,0,13,11,11,15,0.577,14.824,25.272,0.63
doctor,0.11,3550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.11,4050.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.11,4550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.21,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.21,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.21,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.21,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.21,2050.0,5000.0,26,12,0,13,1,1,25,0.962,1.348,64.04,0.979
doctor,0.21,2550.0,5000.0,26,12,0,13,1,1,25,0.962,1.348,64.04,0.979
doctor,0.21,3050.0,5000.0,26,3,0,13,10,10,16,0.615,13.476,29.149,0.684
doctor,0.21,3550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.21,4050.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.21,4550.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.31,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.31,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.31,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.31,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.31,2050.0,5000.0,26,8,0,13,5,5,21,0.808,6.738,48.533,0.878
doctor,0.31,2550.0,5000.0,26,7,0,13,6,6,20,0.769,8.086,44.656,0.847
doctor,0.31,3050.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.31,3550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.31,4050.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.31,4550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.41,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.41,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.41,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.41,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.41,2050.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.41,2550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.41,3050.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.41,3550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.41,4050.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.41,4550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.51,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.51,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.51,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.51,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.51,2050.0,5000.0,26,12,0,13,1,1,25,0.962,1.348,64.04,0.979
doctor,0.51,2550.0,5000.0,26,9,0,13,4,4,22,0.846,5.39,52.41,0.907
doctor,0.51,3050.0,5000.0,26,3,0,13,10,10,16,0.615,13.476,29.149,0.684
doctor,0.51,3550.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.51,4050.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.51,4550.0,5000.0,26,0,0,13,13,13,13,0.5,17.519,17.519,0.5
doctor,0.61,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.61,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.61,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.61,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.61,2050.0,5000.0,26,9,0,13,4,4,22,0.846,5.39,52.41,0.907
doctor,0.61,2550.0,5000.0,26,9,0,13,4,4,22,0.846,5.39,52.41,0.907
doctor,0.61,3050.0,5000.0,26,4,0,13,9,9,17,0.654,12.129,33.026,0.731
doctor,0.61,3550.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.61,4050.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.61,4550.0,5000.0,26,1,0,13,12,12,14,0.538,16.171,21.396,0.57
doctor,0.71,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,2050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,2550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,3050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.71,3550.0,5000.0,26,10,0,13,3,3,23,0.885,4.043,56.286,0.933
doctor,0.71,4050.0,5000.0,26,8,0,13,5,5,21,0.808,6.738,48.533,0.878
doctor,0.71,4550.0,5000.0,26,10,0,13,3,3,23,0.885,4.043,56.286,0.933
doctor,0.81,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,2050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,2550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,3050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,3550.0,5000.0,26,12,0,13,1,1,25,0.962,1.348,64.04,0.979
doctor,0.81,4050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.81,4550.0,5000.0,26,12,0,13,1,1,25,0.962,1.348,64.04,0.979
doctor,0.91,50.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.91,550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.91,1050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.91,1550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.91,2050.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
doctor,0.91,2550.0,5000.0,26,13,0,13,0,0,26,1.0,0.0,67.917,1.0
