persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,10.0,1000.0,26,11,13,0,2,15,11,0.423,29.295,12.81,0.304
doctor,0.01,110.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.01,210.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.01,310.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.01,410.0,1000.0,26,13,1,12,0,1,25,0.962,1.165,100.075,0.988
doctor,0.01,510.0,1000.0,26,13,5,8,0,5,21,0.808,5.823,71.763,0.925
doctor,0.01,610.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,107.153,1.0
doctor,0.01,710.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,107.153,1.0
doctor,0.01,810.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,107.153,1.0
doctor,0.01,910.0,1000.0,26,13,0,13,0,0,26,1.0,0.0,107.153,1.0
doctor,0.11,10.0,1000.0,26,7,13,0,6,19,7,0.269,57.607,8.152,0.124
doctor,0.11,110.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.11,210.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.11,310.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.11,410.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.11,510.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.11,610.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.11,710.0,1000.0,26,13,12,1,0,12,14,0.538,13.974,22.217,0.614
doctor,0.11,810.0,1000.0,26,13,9,4,0,9,17,0.654,10.481,43.451,0.806
doctor,0.11,910.0,1000.0,26,13,6,7,0,6,20,0.769,6.987,64.685,0.903
doctor,0.21,10.0,1000.0,26,0,13,0,13,26,0,0.0,107.153,0.0,0.0
doctor,0.21,110.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,210.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,310.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,410.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,510.0,1000.0,26,12,13,0,1,14,12,0.462,22.217,13.974,0.386
doctor,0.21,610.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,710.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,810.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
doctor,0.21,910.0,1000.0,26,13,13,0,0,13,13,0.5,15.139,15.139,0.5
