persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.01,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.01,42.0,200.0,26,13,1,12,0,1,25,0.962,1.773,50.575,0.966
doctor,0.01,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.01,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.01,102.0,200.0,26,13,5,8,0,5,21,0.808,8.864,41.398,0.824
doctor,0.01,122.0,200.0,26,13,13,0,0,13,13,0.5,23.045,23.045,0.5
doctor,0.01,142.0,200.0,26,13,13,0,0,13,13,0.5,23.045,23.045,0.5
doctor,0.01,162.0,200.0,26,13,10,3,0,10,16,0.615,17.727,29.928,0.628
doctor,0.01,182.0,200.0,26,11,8,5,2,10,16,0.615,18.77,30.971,0.623
doctor,0.11,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.11,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.11,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.11,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.11,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.11,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.11,122.0,200.0,26,13,13,0,0,13,13,0.5,23.045,23.045,0.5
doctor,0.11,142.0,200.0,26,13,13,0,0,13,13,0.5,23.045,23.045,0.5
doctor,0.11,162.0,200.0,26,13,12,1,0,12,14,0.538,21.273,25.34,0.544
doctor,0.11,182.0,200.0,26,4,4,9,9,13,13,0.5,27.738,27.738,0.5
doctor,0.21,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.21,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.21,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.21,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.21,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.21,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.21,122.0,200.0,26,13,12,1,0,12,14,0.538,21.273,25.34,0.544
doctor,0.21,142.0,200.0,26,13,12,1,0,12,14,0.538,21.273,25.34,0.544
doctor,0.21,162.0,200.0,26,13,11,2,0,11,15,0.577,19.5,27.634,0.586
doctor,0.21,182.0,200.0,26,3,2,11,10,12,14,0.538,26.487,30.553,0.536
doctor,0.31,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.31,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.31,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.31,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.31,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.31,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.31,122.0,200.0,26,13,9,4,0,9,17,0.654,15.955,32.222,0.669
doctor,0.31,142.0,200.0,26,12,10,3,1,11,15,0.577,20.021,28.155,0.584
doctor,0.31,162.0,200.0,26,11,10,3,2,12,14,0.538,22.316,26.382,0.542
doctor,0.31,182.0,200.0,26,4,0,13,9,9,17,0.654,20.647,36.914,0.641
doctor,0.41,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.41,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.41,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.41,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.41,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.41,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.41,122.0,200.0,26,13,9,4,0,9,17,0.654,15.955,32.222,0.669
doctor,0.41,142.0,200.0,26,13,8,5,0,8,18,0.692,14.182,34.516,0.709
doctor,0.41,162.0,200.0,26,13,4,9,0,4,22,0.846,7.091,43.693,0.86
doctor,0.41,182.0,200.0,26,6,1,12,7,8,18,0.692,17.832,38.166,0.682
doctor,0.51,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,122.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,142.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,162.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.51,182.0,200.0,26,12,0,13,1,1,25,0.962,2.294,51.096,0.957
doctor,0.61,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,22.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,42.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,62.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,82.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,102.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,122.0,200.0,26,13,4,9,0,4,22,0.846,7.091,43.693,0.86
doctor,0.61,142.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,162.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
doctor,0.61,182.0,200.0,26,12,0,13,1,1,25,0.962,2.294,51.096,0.957
doctor,0.71,2.0,200.0,26,13,0,13,0,0,26,1.0,0.0,52.869,1.0
