persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,5.0,500.0,26,13,0,13,0,0,26,1.0,0.0,102.905,1.0
doctor,0.01,55.0,500.0,26,4,0,13,9,9,17,0.654,10.568,42.23,0.8
doctor,0.01,105.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.01,155.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.01,205.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.01,255.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.01,305.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.01,355.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.01,405.0,500.0,26,1,0,13,12,12,14,0.538,14.09,22.006,0.61
doctor,0.01,455.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.11,5.0,500.0,26,10,0,13,3,3,23,0.885,3.523,82.68,0.959
doctor,0.11,55.0,500.0,26,13,0,13,0,0,26,1.0,0.0,102.905,1.0
doctor,0.11,105.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.11,155.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.11,205.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.11,255.0,500.0,26,0,4,9,13,17,9,0.346,42.23,10.568,0.2
doctor,0.11,305.0,500.0,26,0,1,12,13,14,12,0.462,22.006,14.09,0.39
doctor,0.11,355.0,500.0,26,0,0,13,13,13,13,0.5,15.264,15.264,0.5
doctor,0.11,405.0,500.0,26,0,7,6,13,20,6,0.231,62.455,7.045,0.101
doctor,0.11,455.0,500.0,26,0,3,10,13,16,10,0.385,35.489,11.742,0.249
doctor,0.21,5.0,500.0,26,13,0,13,0,0,26,1.0,0.0,102.905,1.0
doctor,0.21,55.0,500.0,26,13,0,13,0,0,26,1.0,0.0,102.905,1.0
doctor,0.21,105.0,500.0,26,7,0,13,6,6,20,0.769,7.045,62.455,0.899
doctor,0.21,155.0,500.0,26,4,0,13,9,9,17,0.654,10.568,42.23,0.8
doctor,0.21,205.0,500.0,26,7,0,13,6,6,20,0.769,7.045,62.455,0.899
doctor,0.21,255.0,500.0,26,10,0,13,3,3,23,0.885,3.523,82.68,0.959
