persona,p,certain_reward,risky_reward,prob_choose_certain,count_total,count_certain,count_risky
doctor,0.01,5,1000,0.55,20,11,9
doctor,0.01,205,1000,1.0,20,20,0
doctor,0.01,405,1000,1.0,20,20,0
doctor,0.01,605,1000,1.0,20,20,0
doctor,0.01,805,1000,1.0,20,20,0
doctor,0.26,5,1000,0.0,20,0,20
doctor,0.26,205,1000,0.9,20,18,2
doctor,0.26,405,1000,1.0,20,20,0
doctor,0.26,605,1000,1.0,20,20,0
doctor,0.26,805,1000,1.0,20,20,0
doctor,0.51,5,1000,0.0,20,0,20
doctor,0.51,205,1000,0.15,20,3,17
doctor,0.51,405,1000,0.7,20,14,6
doctor,0.51,605,1000,1.0,20,20,0
doctor,0.51,805,1000,1.0,20,20,0
doctor,0.76,5,1000,0.0,20,0,20
doctor,0.76,205,1000,0.05,20,1,19
doctor,0.76,405,1000,0.15,20,3,17
doctor,0.76,605,1000,0.75,20,15,5
doctor,0.76,805,1000,1.0,20,20,0
family,0.01,5,1000,0.7,20,14,6
family,0.01,205,1000,1.0,20,20,0
family,0.01,405,1000,1.0,20,20,0
family,0.01,605,1000,1.0,20,20,0
family,0.01,805,1000,1.0,20,20,0
family,0.26,5,1000,0.0,20,0,20
family,0.26,205,1000,1.0,20,20,0
family,0.26,405,1000,1.0,20,20,0
family,0.26,605,1000,1.0,20,20,0
family,0.26,805,1000,1.0,20,20,0
family,0.51,5,1000,0.0,20,0,20
family,0.51,205,1000,0.65,20,13,7
family,0.51,405,1000,1.0,20,20,0
family,0.51,605,1000,1.0,20,20,0
family,0.51,805,1000,1.0,20,20,0
family,0.76,5,1000,0.0,20,0,20
family,0.76,205,1000,0.05,20,1,19
family,0.76,405,1000,0.5,20,10,10
family,0.76,605,1000,0.8,20,16,4
family,0.76,805,1000,1.0,20,20,0
patient,0.01,5,1000,0.65,20,13,7
patient,0.01,205,1000,1.0,20,20,0
patient,0.01,405,1000,1.0,20,20,0
patient,0.01,605,1000,1.0,20,20,0
patient,0.01,805,1000,1.0,20,20,0
patient,0.26,5,1000,0.0,20,0,20
patient,0.26,205,1000,1.0,20,20,0
patient,0.26,405,1000,1.0,20,20,0
patient,0.26,605,1000,1.0,20,20,0
patient,0.26,805,1000,1.0,20,20,0
patient,0.51,5,1000,0.0,20,0,20
patient,0.51,205,1000,0.65,20,13,7
patient,0.51,405,1000,0.95,20,19,1
patient,0.51,605,1000,1.0,20,20,0
patient,0.51,805,1000,1.0,20,20,0
patient,0.76,5,1000,0.0,20,0,20
patient,0.76,205,1000,0.35,20,7,13
patient,0.76,405,1000,0.7,20,14,6
patient,0.76,605,1000,0.9,20,18,2
patient,0.76,805,1000,1.0,20,20,0
