persona,p,certain_reward,risky_reward,prob_choose_certain,count_total,count_certain,count_risky
doctor,0.01,5,1000,0.4,20,8,12
doctor,0.01,205,1000,1.0,20,20,0
doctor,0.01,405,1000,1.0,20,20,0
doctor,0.01,605,1000,1.0,20,20,0
doctor,0.01,805,1000,1.0,20,20,0
doctor,0.26,5,1000,0.0,20,0,20
doctor,0.26,205,1000,0.85,20,17,3
doctor,0.26,405,1000,1.0,20,20,0
doctor,0.26,605,1000,1.0,20,20,0
doctor,0.26,805,1000,1.0,20,20,0
doctor,0.51,5,1000,0.0,20,0,20
doctor,0.51,205,1000,0.55,20,11,9
doctor,0.51,405,1000,0.95,20,19,1
doctor,0.51,605,1000,1.0,20,20,0
doctor,0.51,805,1000,1.0,20,20,0
doctor,0.76,5,1000,0.0,20,0,20
doctor,0.76,205,1000,0.15,20,3,17
doctor,0.76,405,1000,0.45,20,9,11
doctor,0.76,605,1000,0.9,20,18,2
doctor,0.76,805,1000,1.0,20,20,0
family,0.01,5,1000,0.6,20,12,8
family,0.01,205,1000,1.0,20,20,0
family,0.01,405,1000,1.0,20,20,0
family,0.01,605,1000,1.0,20,20,0
family,0.01,805,1000,1.0,20,20,0
family,0.26,5,1000,0.1,20,2,18
family,0.26,205,1000,1.0,20,20,0
family,0.26,405,1000,1.0,20,20,0
family,0.26,605,1000,1.0,20,20,0
family,0.26,805,1000,1.0,20,20,0
family,0.51,5,1000,0.0,20,0,20
family,0.51,205,1000,0.85,20,17,3
family,0.51,405,1000,1.0,20,20,0
family,0.51,605,1000,1.0,20,20,0
family,0.51,805,1000,1.0,20,20,0
family,0.76,5,1000,0.0,20,0,20
family,0.76,205,1000,0.35,20,7,13
family,0.76,405,1000,0.85,20,17,3
family,0.76,605,1000,0.95,20,19,1
family,0.76,805,1000,1.0,20,20,0
patient,0.01,5,1000,0.55,20,11,9
patient,0.01,205,1000,1.0,20,20,0
patient,0.01,405,1000,1.0,20,20,0
patient,0.01,605,1000,1.0,20,20,0
patient,0.01,805,1000,1.0,20,20,0
patient,0.26,5,1000,0.0,20,0,20
patient,0.26,205,1000,1.0,20,20,0
patient,0.26,405,1000,1.0,20,20,0
patient,0.26,605,1000,1.0,20,20,0
patient,0.26,805,1000,1.0,20,20,0
patient,0.51,5,1000,0.05,20,1,19
patient,0.51,205,1000,0.7,20,14,6
patient,0.51,405,1000,0.85,20,17,3
patient,0.51,605,1000,1.0,20,20,0
patient,0.51,805,1000,1.0,20,20,0
patient,0.76,5,1000,0.0,20,0,20
patient,0.76,205,1000,0.4,20,8,12
patient,0.76,405,1000,0.75,20,15,5
patient,0.76,605,1000,1.0,20,20,0
patient,0.76,805,1000,1.0,20,20,0
