persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.0,0,1000,40,20,5,15,0,5,35,0.875,9.329,69.641,0.882
doctor,0.0,50,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,100,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,150,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,200,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,250,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,300,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,350,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,400,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,450,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,500,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,550,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,600,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,650,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,700,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,750,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,800,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,850,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,900,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,950,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.0,1000,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,0,1000,40,0,20,0,20,40,0,0.0,80.416,0.0,0.0
doctor,0.05,50,1000,40,20,5,15,0,5,35,0.875,9.329,69.641,0.882
doctor,0.05,100,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,150,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,200,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,250,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,300,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,350,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,400,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,450,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,500,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,550,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,600,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,650,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,700,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,750,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,800,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,850,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,900,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,950,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.05,1000,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,0,1000,40,0,20,0,20,40,0,0.0,80.416,0.0,0.0
doctor,0.1,50,1000,40,20,12,8,0,12,28,0.7,22.391,54.557,0.709
doctor,0.1,100,1000,40,20,1,19,0,1,39,0.975,1.866,78.261,0.977
doctor,0.1,150,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,200,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,250,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,300,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,350,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,400,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,450,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,500,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,550,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,600,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,650,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
doctor,0.1,700,1000,40,20,0,20,0,0,40,1.0,0.0,80.416,1.0
