persona,p,certain_reward,risky_reward,prob_choose_certain,count_total,count_certain,count_risky
doctor,0.0,0,1000,0.95,40,38,2
doctor,0.0,500,1000,1.0,40,40,0
doctor,0.0,1000,1000,1.0,40,40,0
doctor,0.5,0,1000,0.0,40,0,40
doctor,0.5,500,1000,0.95,40,38,2
doctor,0.5,1000,1000,1.0,40,40,0
doctor,1.0,0,1000,0.0,40,0,40
doctor,1.0,500,1000,0.0,40,0,40
doctor,1.0,1000,1000,0.825,40,33,7
family,0.0,0,1000,0.9,40,36,4
family,0.0,500,1000,1.0,40,40,0
family,0.0,1000,1000,1.0,40,40,0
family,0.5,0,1000,0.0,40,0,40
family,0.5,500,1000,1.0,40,40,0
family,0.5,1000,1000,1.0,40,40,0
family,1.0,0,1000,0.0,40,0,40
family,1.0,500,1000,0.0,40,0,40
family,1.0,1000,1000,0.9,40,36,4
patient,0.0,0,1000,0.95,40,38,2
patient,0.0,500,1000,1.0,40,40,0
patient,0.0,1000,1000,1.0,40,40,0
patient,0.5,0,1000,0.0,40,0,40
patient,0.5,500,1000,0.975,40,39,1
patient,0.5,1000,1000,1.0,40,40,0
patient,1.0,0,1000,0.0,40,0,40
patient,1.0,500,1000,0.0,40,0,40
patient,1.0,1000,1000,0.65,40,26,14
