persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.0,0.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.0,40.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.0,80.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.0,120.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.0,160.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.0,200.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.2,0.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.2,40.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.2,80.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.2,120.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.2,160.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.2,200.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.4,0.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.4,40.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.4,80.0,200.0,8,3,4,1,0,4,4,0.5,8.308,8.159,0.495
doctor,0.4,120.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.4,160.0,200.0,8,3,4,1,0,4,4,0.5,8.308,8.159,0.495
doctor,0.4,200.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.6,0.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.6,40.0,200.0,8,1,4,3,0,4,4,0.5,8.308,7.863,0.486
doctor,0.6,80.0,200.0,8,0,4,4,0,4,4,0.5,8.308,7.714,0.481
doctor,0.6,120.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.6,160.0,200.0,8,3,4,1,0,4,4,0.5,8.308,8.159,0.495
doctor,0.6,200.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.8,0.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.8,40.0,200.0,8,0,4,4,0,4,4,0.5,8.308,7.714,0.481
doctor,0.8,80.0,200.0,8,1,4,3,0,4,4,0.5,8.308,7.863,0.486
doctor,0.8,120.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,0.8,160.0,200.0,8,2,4,2,0,4,4,0.5,8.308,8.011,0.491
doctor,0.8,200.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
doctor,1.0,0.0,200.0,8,0,0,4,4,4,4,0.5,7.714,7.714,0.5
doctor,1.0,40.0,200.0,8,0,0,4,4,4,4,0.5,7.714,7.714,0.5
doctor,1.0,80.0,200.0,8,0,0,4,4,4,4,0.5,7.714,7.714,0.5
doctor,1.0,120.0,200.0,8,0,0,4,4,4,4,0.5,7.714,7.714,0.5
doctor,1.0,160.0,200.0,8,0,0,4,4,4,4,0.5,7.714,7.714,0.5
doctor,1.0,200.0,200.0,8,4,0,0,4,4,4,0.5,7.714,8.308,0.519
family,0.0,0.0,200.0,8,4,3,0,1,4,4,0.5,8.159,8.308,0.505
family,0.0,40.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
family,0.0,80.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
family,0.0,120.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
family,0.0,160.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
family,0.0,200.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
family,0.2,0.0,200.0,8,4,4,0,0,4,4,0.5,8.308,8.308,0.5
