persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.0,0.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,4.0,200.0,26,10,13,3,0,13,13,0.5,35.763,32.223,0.474
doctor,0.0,8.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,12.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,16.0,200.0,26,11,13,2,0,13,13,0.5,35.763,33.403,0.483
doctor,0.0,20.0,200.0,26,10,13,3,0,13,13,0.5,35.763,32.223,0.474
doctor,0.0,24.0,200.0,26,9,13,4,0,13,13,0.5,35.763,31.043,0.465
doctor,0.0,28.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,32.0,200.0,26,11,13,2,0,13,13,0.5,35.763,33.403,0.483
doctor,0.0,36.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,40.0,200.0,26,10,13,3,0,13,13,0.5,35.763,32.223,0.474
doctor,0.0,44.0,200.0,26,11,13,2,0,13,13,0.5,35.763,33.403,0.483
doctor,0.0,48.0,200.0,26,9,13,4,0,13,13,0.5,35.763,31.043,0.465
doctor,0.0,52.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,56.0,200.0,26,11,13,2,0,13,13,0.5,35.763,33.403,0.483
doctor,0.0,60.0,200.0,26,11,13,2,0,13,13,0.5,35.763,33.403,0.483
doctor,0.0,64.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,68.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,72.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,76.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,80.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,84.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,88.0,200.0,26,11,13,2,0,13,13,0.5,35.763,33.403,0.483
doctor,0.0,92.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,96.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,100.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
doctor,0.0,104.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,108.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,112.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,116.0,200.0,26,13,13,0,0,13,13,0.5,35.763,35.763,0.5
doctor,0.0,120.0,200.0,26,12,13,1,0,13,13,0.5,35.763,34.583,0.492
