persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
family,0.0,800.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.0,1000.0,1000.0,4,2,2,0,0,2,2,0.5,101.647,101.647,0.5
family,0.2,800.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.2,1000.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.4,0.0,1000.0,2,0,0,2,0,0,2,1.0,0.0,123.429,1.0
family,0.4,600.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.4,800.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.4,1000.0,1000.0,3,2,1,0,0,1,2,0.667,50.824,101.647,0.667
family,0.6,0.0,1000.0,3,0,0,3,0,0,3,1.0,0.0,185.143,1.0
family,0.6,400.0,1000.0,1,0,0,1,0,0,1,1.0,0.0,61.714,1.0
family,0.6,800.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.6,1000.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,0.8,0.0,1000.0,1,0,0,1,0,0,1,1.0,0.0,61.714,1.0
family,0.8,200.0,1000.0,1,0,0,1,0,0,1,1.0,0.0,61.714,1.0
family,0.8,800.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
family,1.0,0.0,1000.0,3,0,0,2,1,1,2,0.667,61.714,123.429,0.667
family,1.0,400.0,1000.0,1,0,0,1,0,0,1,1.0,0.0,61.714,1.0
family,1.0,600.0,1000.0,2,0,1,1,0,1,1,0.5,50.824,61.714,0.548
family,1.0,800.0,1000.0,1,0,0,1,0,0,1,1.0,0.0,61.714,1.0
family,1.0,1000.0,1000.0,1,1,0,0,0,0,1,1.0,0.0,50.824,1.0
