persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,10.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,30.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,50.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,70.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,90.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,110.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,130.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,150.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,170.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,190.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,210.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,230.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,250.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,270.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,290.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,310.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,330.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,350.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,370.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,390.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,410.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,430.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,450.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,470.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,490.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,510.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,530.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,550.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,570.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,590.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,610.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,630.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,650.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,670.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,690.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,710.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,730.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,750.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,770.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,790.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,810.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,830.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,850.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,870.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,890.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,910.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,930.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,950.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,970.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.01,990.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,10.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,30.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,50.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,70.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,90.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,110.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,130.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,150.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,170.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,190.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,210.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,230.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,250.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,270.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,290.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,310.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,330.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,350.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,370.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,390.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,410.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,430.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,450.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,470.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,490.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,510.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,530.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,550.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,570.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,590.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,610.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,630.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,650.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,670.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,690.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,710.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,730.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,750.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,770.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,790.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,810.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,830.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,850.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,870.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,890.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,910.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
doctor,0.03,930.0,1000.0,34,17,0,17,0,0,34,1.0,0.0,68.401,1.0
