persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,3.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,5.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,7.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,9.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,11.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,13.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,15.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,17.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,19.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,21.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,23.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,25.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,27.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,29.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,31.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,33.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,35.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,37.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,39.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,41.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,43.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,45.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,47.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,49.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
doctor,0.01,51.0,100.0,34,17,0,17,0,0,34,1.0,0.0,68.079,1.0
