persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,0.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,0.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,1.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,2.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,2.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,3.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,3.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,4.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,5.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,5.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,6.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,6.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,7.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,8.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,8.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,9.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,9.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,10.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,11.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,11.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,12.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,12.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,13.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,14.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,14.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,15.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,15.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,16.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,17.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,17.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,18.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,18.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,19.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,20.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,20.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,21.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,21.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,22.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,23.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,23.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,24.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,24.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,25.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,26.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,26.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,27.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,27.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,28.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,29.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.01,29.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,0.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,0.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,1.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,2.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,2.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,3.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,3.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,4.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,5.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,5.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,6.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,6.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,7.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,8.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,8.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,9.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,9.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,10.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,11.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,11.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,12.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,12.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,13.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,14.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,14.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,15.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,15.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,16.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,17.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,17.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,18.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,18.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,19.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,20.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,20.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,21.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,21.9,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,22.5,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,23.1,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,23.7,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
doctor,0.03,24.3,30.0,34,17,0,17,0,0,34,1.0,0.0,68.7,1.0
