persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,30,0,1,14,15,16,14,0.467,27.302,15.434,0.361
doctor,0.01,22.0,200.0,30,0,3,12,15,18,12,0.4,48.833,13.229,0.213
doctor,0.01,42.0,200.0,30,0,3,12,15,18,12,0.4,48.833,13.229,0.213
doctor,0.01,62.0,200.0,30,0,1,14,15,16,14,0.467,27.302,15.434,0.361
doctor,0.01,82.0,200.0,30,0,2,13,15,17,13,0.433,38.067,14.331,0.274
doctor,0.01,102.0,200.0,30,0,6,9,15,21,9,0.3,81.129,9.922,0.109
doctor,0.01,122.0,200.0,30,0,8,7,15,23,7,0.233,102.66,7.717,0.07
doctor,0.01,142.0,200.0,30,0,8,7,15,23,7,0.233,102.66,7.717,0.07
doctor,0.01,162.0,200.0,30,0,4,11,15,19,11,0.367,59.598,12.126,0.169
doctor,0.01,182.0,200.0,30,0,7,8,15,22,8,0.267,91.895,8.819,0.088
doctor,0.11,2.0,200.0,30,0,1,14,15,16,14,0.467,27.302,15.434,0.361
doctor,0.11,22.0,200.0,30,0,6,9,15,21,9,0.3,81.129,9.922,0.109
doctor,0.11,42.0,200.0,30,0,4,11,15,19,11,0.367,59.598,12.126,0.169
doctor,0.11,62.0,200.0,30,0,2,13,15,17,13,0.433,38.067,14.331,0.274
doctor,0.11,82.0,200.0,30,0,2,13,15,17,13,0.433,38.067,14.331,0.274
doctor,0.11,102.0,200.0,30,0,10,5,15,25,5,0.167,124.192,5.512,0.042
doctor,0.11,122.0,200.0,30,0,14,1,15,29,1,0.033,167.254,1.102,0.007
doctor,0.11,142.0,200.0,30,0,14,1,15,29,1,0.033,167.254,1.102,0.007
doctor,0.11,162.0,200.0,30,0,15,0,15,30,0,0.0,178.019,0.0,0.0
doctor,0.11,182.0,200.0,30,0,15,0,15,30,0,0.0,178.019,0.0,0.0
doctor,0.21,2.0,200.0,30,2,0,15,13,13,17,0.567,14.331,38.067,0.726
doctor,0.21,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.21,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.21,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.21,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.21,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.21,122.0,200.0,30,0,4,11,15,19,11,0.367,59.598,12.126,0.169
doctor,0.21,142.0,200.0,30,0,7,8,15,22,8,0.267,91.895,8.819,0.088
doctor,0.21,162.0,200.0,30,0,5,10,15,20,10,0.333,70.364,11.024,0.135
doctor,0.21,182.0,200.0,30,0,15,0,15,30,0,0.0,178.019,0.0,0.0
doctor,0.31,2.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,122.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,142.0,200.0,30,0,2,13,15,17,13,0.433,38.067,14.331,0.274
doctor,0.31,162.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.31,182.0,200.0,30,0,14,1,15,29,1,0.033,167.254,1.102,0.007
doctor,0.41,2.0,200.0,30,2,0,15,13,13,17,0.567,14.331,38.067,0.726
doctor,0.41,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,122.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,142.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.41,162.0,200.0,30,0,1,14,15,16,14,0.467,27.302,15.434,0.361
doctor,0.41,182.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,2.0,200.0,30,2,0,15,13,13,17,0.567,14.331,38.067,0.726
doctor,0.51,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,122.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,142.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,162.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.51,182.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,2.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,122.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,142.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,162.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.61,182.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,2.0,200.0,30,3,0,15,12,12,18,0.6,13.229,48.833,0.787
doctor,0.71,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,122.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,142.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,162.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.71,182.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,2.0,200.0,30,9,0,15,6,6,24,0.8,6.614,113.426,0.945
doctor,0.81,22.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,122.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,142.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,162.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.81,182.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.91,2.0,200.0,30,14,0,15,1,1,29,0.967,1.102,167.254,0.993
doctor,0.91,22.0,200.0,30,1,0,15,14,14,16,0.533,15.434,27.302,0.639
doctor,0.91,42.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.91,62.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.91,82.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
doctor,0.91,102.0,200.0,30,0,0,15,15,15,15,0.5,16.536,16.536,0.5
