persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,10.0,1000.0,30,0,3,12,15,18,12,0.4,44.121,31.414,0.416
doctor,0.01,110.0,1000.0,30,15,1,14,0,1,29,0.967,1.618,60.921,0.974
doctor,0.01,210.0,1000.0,30,15,6,9,0,6,24,0.8,9.709,47.832,0.831
doctor,0.01,310.0,1000.0,30,15,3,12,0,3,27,0.9,4.854,55.685,0.92
doctor,0.01,410.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.01,510.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.01,610.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.01,710.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.01,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.01,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.11,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.11,110.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
doctor,0.11,210.0,1000.0,30,15,14,1,0,14,16,0.533,22.654,26.89,0.543
doctor,0.11,310.0,1000.0,30,15,13,2,0,13,17,0.567,21.036,29.507,0.584
doctor,0.11,410.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.11,510.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.11,610.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.11,710.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.11,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.11,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.21,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.21,110.0,1000.0,30,6,15,0,9,24,6,0.2,47.832,9.709,0.169
doctor,0.21,210.0,1000.0,30,14,15,0,1,16,14,0.467,26.89,22.654,0.457
doctor,0.21,310.0,1000.0,30,15,15,0,0,15,15,0.5,24.272,24.272,0.5
doctor,0.21,410.0,1000.0,30,15,15,0,0,15,15,0.5,24.272,24.272,0.5
doctor,0.21,510.0,1000.0,30,14,12,3,1,13,17,0.567,22.035,30.507,0.581
doctor,0.21,610.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.21,710.0,1000.0,30,15,3,12,0,3,27,0.9,4.854,55.685,0.92
doctor,0.21,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.21,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.31,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.31,110.0,1000.0,30,5,15,0,10,25,5,0.167,50.45,8.091,0.138
doctor,0.31,210.0,1000.0,30,11,15,0,4,19,11,0.367,34.743,17.799,0.339
doctor,0.31,310.0,1000.0,30,15,15,0,0,15,15,0.5,24.272,24.272,0.5
doctor,0.31,410.0,1000.0,30,15,15,0,0,15,15,0.5,24.272,24.272,0.5
doctor,0.31,510.0,1000.0,30,13,15,0,2,17,13,0.433,29.507,21.036,0.416
doctor,0.31,610.0,1000.0,30,12,6,9,3,9,21,0.7,17.562,42.978,0.71
doctor,0.31,710.0,1000.0,30,15,12,3,0,12,18,0.6,19.417,32.125,0.623
doctor,0.31,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.31,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.41,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.41,110.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
doctor,0.41,210.0,1000.0,30,9,15,0,6,21,9,0.3,39.979,14.563,0.267
doctor,0.41,310.0,1000.0,30,10,15,0,5,20,10,0.333,37.361,16.181,0.302
doctor,0.41,410.0,1000.0,30,15,15,0,0,15,15,0.5,24.272,24.272,0.5
doctor,0.41,510.0,1000.0,30,14,14,1,1,15,15,0.5,25.272,25.272,0.5
doctor,0.41,610.0,1000.0,30,6,0,15,9,9,21,0.7,23.56,48.976,0.675
doctor,0.41,710.0,1000.0,30,14,1,14,1,2,28,0.933,4.236,59.303,0.933
doctor,0.41,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.41,910.0,1000.0,30,15,1,14,0,1,29,0.967,1.618,60.921,0.974
doctor,0.51,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.51,110.0,1000.0,30,2,15,0,13,28,2,0.067,58.303,3.236,0.053
doctor,0.51,210.0,1000.0,30,9,15,0,6,21,9,0.3,39.979,14.563,0.267
doctor,0.51,310.0,1000.0,30,12,15,0,3,18,12,0.4,32.125,19.417,0.377
doctor,0.51,410.0,1000.0,30,13,15,0,2,17,13,0.433,29.507,21.036,0.416
doctor,0.51,510.0,1000.0,30,13,15,0,2,17,13,0.433,29.507,21.036,0.416
doctor,0.51,610.0,1000.0,30,12,0,15,3,3,27,0.9,7.853,58.684,0.882
doctor,0.51,710.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.51,810.0,1000.0,30,14,0,15,1,1,29,0.967,2.618,61.921,0.959
doctor,0.51,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.61,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.61,110.0,1000.0,30,2,15,0,13,28,2,0.067,58.303,3.236,0.053
doctor,0.61,210.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
doctor,0.61,310.0,1000.0,30,3,15,0,12,27,3,0.1,55.685,4.854,0.08
doctor,0.61,410.0,1000.0,30,10,15,0,5,20,10,0.333,37.361,16.181,0.302
doctor,0.61,510.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
doctor,0.61,610.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
doctor,0.61,710.0,1000.0,30,4,0,15,11,11,19,0.633,28.796,45.74,0.614
doctor,0.61,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
doctor,0.61,910.0,1000.0,30,15,9,6,0,9,21,0.7,14.563,39.979,0.733
doctor,0.71,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.71,110.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.71,210.0,1000.0,30,3,15,0,12,27,3,0.1,55.685,4.854,0.08
doctor,0.71,310.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
doctor,0.71,410.0,1000.0,30,8,15,0,7,22,8,0.267,42.596,12.945,0.233
doctor,0.71,510.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
doctor,0.71,610.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
doctor,0.71,710.0,1000.0,30,7,15,0,8,23,7,0.233,45.214,11.327,0.2
doctor,0.71,810.0,1000.0,30,13,0,15,2,2,28,0.933,5.236,60.303,0.92
doctor,0.71,910.0,1000.0,30,14,12,3,1,13,17,0.567,22.035,30.507,0.581
doctor,0.81,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.81,110.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.81,210.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.81,310.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
doctor,0.81,410.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
doctor,0.81,510.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.81,610.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.81,710.0,1000.0,30,3,15,0,12,27,3,0.1,55.685,4.854,0.08
doctor,0.81,810.0,1000.0,30,8,11,4,7,18,12,0.4,36.124,23.416,0.393
doctor,0.81,910.0,1000.0,30,12,2,13,3,5,25,0.833,11.09,53.449,0.828
doctor,0.91,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.91,110.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.91,210.0,1000.0,30,3,15,0,12,27,3,0.1,55.685,4.854,0.08
doctor,0.91,310.0,1000.0,30,6,15,0,9,24,6,0.2,47.832,9.709,0.169
doctor,0.91,410.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
doctor,0.91,510.0,1000.0,30,6,15,0,9,24,6,0.2,47.832,9.709,0.169
doctor,0.91,610.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
doctor,0.91,710.0,1000.0,30,2,15,0,13,28,2,0.067,58.303,3.236,0.053
doctor,0.91,810.0,1000.0,30,6,15,0,9,24,6,0.2,47.832,9.709,0.169
doctor,0.91,910.0,1000.0,30,10,15,0,5,20,10,0.333,37.361,16.181,0.302
family,0.01,10.0,1000.0,30,0,14,1,15,29,1,0.033,61.921,2.618,0.041
family,0.01,110.0,1000.0,30,15,5,10,0,5,25,0.833,8.091,50.45,0.862
family,0.01,210.0,1000.0,30,15,14,1,0,14,16,0.533,22.654,26.89,0.543
family,0.01,310.0,1000.0,30,15,9,6,0,9,21,0.7,14.563,39.979,0.733
family,0.01,410.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.01,510.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.01,610.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.01,710.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.01,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.01,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.11,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
family,0.11,110.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
family,0.11,210.0,1000.0,30,12,15,0,3,18,12,0.4,32.125,19.417,0.377
family,0.11,310.0,1000.0,30,15,15,0,0,15,15,0.5,24.272,24.272,0.5
family,0.11,410.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.11,510.0,1000.0,30,13,0,15,2,2,28,0.933,5.236,60.303,0.92
family,0.11,610.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.11,710.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.11,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.11,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.21,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
family,0.21,110.0,1000.0,30,2,15,0,13,28,2,0.067,58.303,3.236,0.053
family,0.21,210.0,1000.0,30,7,15,0,8,23,7,0.233,45.214,11.327,0.2
family,0.21,310.0,1000.0,30,14,15,0,1,16,14,0.467,26.89,22.654,0.457
family,0.21,410.0,1000.0,30,15,8,7,0,8,22,0.733,12.945,42.596,0.767
family,0.21,510.0,1000.0,30,14,14,1,1,15,15,0.5,25.272,25.272,0.5
family,0.21,610.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.21,710.0,1000.0,30,15,7,8,0,7,23,0.767,11.327,45.214,0.8
family,0.21,810.0,1000.0,30,15,2,13,0,2,28,0.933,3.236,58.303,0.947
family,0.21,910.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.31,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
family,0.31,110.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
family,0.31,210.0,1000.0,30,7,15,0,8,23,7,0.233,45.214,11.327,0.2
family,0.31,310.0,1000.0,30,11,15,0,4,19,11,0.367,34.743,17.799,0.339
family,0.31,410.0,1000.0,30,14,13,2,1,14,16,0.533,23.653,27.889,0.541
family,0.31,510.0,1000.0,30,12,15,0,3,18,12,0.4,32.125,19.417,0.377
family,0.31,610.0,1000.0,30,14,0,15,1,1,29,0.967,2.618,61.921,0.959
family,0.31,710.0,1000.0,30,15,13,2,0,13,17,0.567,21.036,29.507,0.584
family,0.31,810.0,1000.0,30,15,0,15,0,0,30,1.0,0.0,63.539,1.0
family,0.31,910.0,1000.0,30,15,1,14,0,1,29,0.967,1.618,60.921,0.974
family,0.41,10.0,1000.0,30,0,15,0,15,30,0,0.0,63.539,0.0,0.0
family,0.41,110.0,1000.0,30,1,15,0,14,29,1,0.033,60.921,1.618,0.026
family,0.41,210.0,1000.0,30,4,15,0,11,26,4,0.133,53.068,6.472,0.109
