persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,1.0,100.0,30,0,14,1,15,29,1,0.033,63.524,2.776,0.042
doctor,0.01,11.0,100.0,30,14,0,15,1,1,29,0.967,2.776,63.524,0.958
doctor,0.01,21.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,31.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,41.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,51.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,61.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,81.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.01,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.11,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.11,11.0,100.0,30,3,15,0,12,27,3,0.1,56.758,4.689,0.076
doctor,0.11,21.0,100.0,30,8,6,9,7,13,17,0.567,28.811,37.489,0.565
doctor,0.11,31.0,100.0,30,15,2,13,0,2,28,0.933,3.126,59.534,0.95
doctor,0.11,41.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.11,51.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.11,61.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.11,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.11,81.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.11,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.21,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.21,11.0,100.0,30,1,15,0,14,29,1,0.033,62.311,1.563,0.024
doctor,0.21,21.0,100.0,30,8,15,0,7,22,8,0.267,42.878,12.504,0.226
doctor,0.21,31.0,100.0,30,15,11,4,0,11,19,0.633,17.193,34.55,0.668
doctor,0.21,41.0,100.0,30,15,1,14,0,1,29,0.967,1.563,62.311,0.976
doctor,0.21,51.0,100.0,30,15,2,13,0,2,28,0.933,3.126,59.534,0.95
doctor,0.21,61.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.21,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.21,81.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.21,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.31,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.31,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.31,21.0,100.0,30,3,15,0,12,27,3,0.1,56.758,4.689,0.076
doctor,0.31,31.0,100.0,30,12,15,0,3,18,12,0.4,31.774,18.757,0.371
doctor,0.31,41.0,100.0,30,14,12,3,1,13,17,0.567,21.533,30.211,0.584
doctor,0.31,51.0,100.0,30,15,14,1,0,14,16,0.533,21.883,26.222,0.545
doctor,0.31,61.0,100.0,30,15,11,4,0,11,19,0.633,17.193,34.55,0.668
doctor,0.31,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.31,81.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.31,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.41,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.41,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.41,21.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.41,31.0,100.0,30,3,15,0,12,27,3,0.1,56.758,4.689,0.076
doctor,0.41,41.0,100.0,30,12,15,0,3,18,12,0.4,31.774,18.757,0.371
doctor,0.41,51.0,100.0,30,11,15,0,4,19,11,0.367,34.55,17.193,0.332
doctor,0.41,61.0,100.0,30,13,11,4,2,13,17,0.567,22.746,31.424,0.58
doctor,0.41,71.0,100.0,30,15,4,11,0,4,26,0.867,6.252,53.982,0.896
doctor,0.41,81.0,100.0,30,15,4,11,0,4,26,0.867,6.252,53.982,0.896
doctor,0.41,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
doctor,0.51,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.51,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.51,21.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.51,31.0,100.0,30,2,15,0,13,28,2,0.067,59.534,3.126,0.05
doctor,0.51,41.0,100.0,30,7,15,0,8,23,7,0.233,45.654,10.941,0.193
doctor,0.51,51.0,100.0,30,13,15,0,2,17,13,0.433,28.998,20.32,0.412
doctor,0.51,61.0,100.0,30,15,6,9,0,6,24,0.8,9.378,48.43,0.838
doctor,0.51,71.0,100.0,30,15,12,3,0,12,18,0.6,18.757,31.774,0.629
doctor,0.51,81.0,100.0,30,15,14,1,0,14,16,0.533,21.883,26.222,0.545
doctor,0.51,91.0,100.0,30,15,4,11,0,4,26,0.867,6.252,53.982,0.896
doctor,0.61,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.61,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.61,21.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.61,31.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.61,41.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.61,51.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.61,61.0,100.0,30,7,15,0,8,23,7,0.233,45.654,10.941,0.193
doctor,0.61,71.0,100.0,30,7,10,5,8,18,12,0.4,37.839,24.822,0.396
doctor,0.61,81.0,100.0,30,10,15,0,5,20,10,0.333,37.326,15.63,0.295
doctor,0.61,91.0,100.0,30,8,10,5,7,17,13,0.433,35.063,26.385,0.429
doctor,0.71,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,21.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,31.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,41.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,51.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,61.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.71,71.0,100.0,30,9,15,0,6,21,9,0.3,40.102,14.067,0.26
doctor,0.71,81.0,100.0,30,11,15,0,4,19,11,0.367,34.55,17.193,0.332
doctor,0.71,91.0,100.0,30,6,15,0,9,24,6,0.2,48.43,9.378,0.162
doctor,0.81,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,21.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,31.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,41.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,51.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,61.0,100.0,30,1,15,0,14,29,1,0.033,62.311,1.563,0.024
doctor,0.81,71.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.81,81.0,100.0,30,14,15,0,1,16,14,0.467,26.222,21.883,0.455
doctor,0.81,91.0,100.0,30,2,15,0,13,28,2,0.067,59.534,3.126,0.05
doctor,0.91,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,11.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,21.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,31.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,41.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,51.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,61.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
doctor,0.91,71.0,100.0,30,2,15,0,13,28,2,0.067,59.534,3.126,0.05
doctor,0.91,81.0,100.0,30,3,15,0,12,27,3,0.1,56.758,4.689,0.076
doctor,0.91,91.0,100.0,30,10,15,0,5,20,10,0.333,37.326,15.63,0.295
family,0.01,1.0,100.0,30,0,10,5,15,25,5,0.167,57.271,13.88,0.195
family,0.01,11.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,21.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,31.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,41.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,51.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,61.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,81.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.01,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.11,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
family,0.11,11.0,100.0,30,11,15,0,4,19,11,0.367,34.55,17.193,0.332
family,0.11,21.0,100.0,30,12,13,2,3,16,14,0.467,28.648,24.309,0.459
family,0.11,31.0,100.0,30,15,4,11,0,4,26,0.867,6.252,53.982,0.896
family,0.11,41.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.11,51.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.11,61.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.11,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.11,81.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.11,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.21,1.0,100.0,30,0,15,0,15,30,0,0.0,65.087,0.0,0.0
family,0.21,11.0,100.0,30,8,15,0,7,22,8,0.267,42.878,12.504,0.226
family,0.21,21.0,100.0,30,14,15,0,1,16,14,0.467,26.222,21.883,0.455
family,0.21,31.0,100.0,30,15,15,0,0,15,15,0.5,23.446,23.446,0.5
family,0.21,41.0,100.0,30,15,10,5,0,10,20,0.667,15.63,37.326,0.705
family,0.21,51.0,100.0,30,15,9,6,0,9,21,0.7,14.067,40.102,0.74
family,0.21,61.0,100.0,30,15,1,14,0,1,29,0.967,1.563,62.311,0.976
family,0.21,71.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
family,0.21,81.0,100.0,30,15,3,12,0,3,27,0.9,4.689,56.758,0.924
family,0.21,91.0,100.0,30,15,0,15,0,0,30,1.0,0.0,65.087,1.0
