persona,p,certain_reward,risky_reward,total_numb,count_A_certain,count_A_risky,count_B_certain,count_B_risky,count_risky,count_certain,prob_certain,count_risky_adjust,count_certain_adjust,prob_certain_adjust
doctor,0.01,2.0,200.0,30,15,0,15,0,0,30,1.0,0.0,76.322,1.0
doctor,0.01,22.0,200.0,30,2,0,15,13,13,17,0.567,17.778,27.955,0.611
doctor,0.01,42.0,200.0,30,1,1,14,14,15,15,0.5,22.867,22.867,0.5
doctor,0.01,62.0,200.0,30,2,0,15,13,13,17,0.567,17.778,27.955,0.611
doctor,0.01,82.0,200.0,30,1,1,14,14,15,15,0.5,22.867,22.867,0.5
doctor,0.01,102.0,200.0,30,0,9,6,15,24,6,0.2,53.999,8.205,0.132
doctor,0.01,122.0,200.0,30,0,15,0,15,30,0,0.0,76.322,0.0,0.0
doctor,0.01,142.0,200.0,30,0,11,4,15,26,4,0.133,61.44,5.47,0.082
doctor,0.01,162.0,200.0,30,0,10,5,15,25,5,0.167,57.719,6.838,0.106
doctor,0.01,182.0,200.0,30,0,7,8,15,22,8,0.267,46.557,10.941,0.19
doctor,0.11,2.0,200.0,30,10,0,15,5,5,25,0.833,6.838,57.719,0.894
doctor,0.11,22.0,200.0,30,6,0,15,9,9,21,0.7,12.308,42.837,0.777
doctor,0.11,42.0,200.0,30,7,0,15,8,8,22,0.733,10.941,46.557,0.81
doctor,0.11,62.0,200.0,30,8,0,15,7,7,23,0.767,9.573,50.278,0.84
doctor,0.11,82.0,200.0,30,11,0,15,4,4,26,0.867,5.47,61.44,0.918
doctor,0.11,102.0,200.0,30,1,2,13,14,16,14,0.467,26.587,21.499,0.447
doctor,0.11,122.0,200.0,30,3,12,3,12,24,6,0.2,61.057,15.264,0.2
doctor,0.11,142.0,200.0,30,1,12,3,14,26,4,0.133,63.793,7.823,0.109
doctor,0.11,162.0,200.0,30,0,8,7,15,23,7,0.233,50.278,9.573,0.16
doctor,0.11,182.0,200.0,30,0,8,7,15,23,7,0.233,50.278,9.573,0.16
doctor,0.21,2.0,200.0,30,13,3,12,2,5,25,0.833,13.897,64.778,0.823
doctor,0.21,22.0,200.0,30,8,3,12,7,10,20,0.667,20.735,46.175,0.69
doctor,0.21,42.0,200.0,30,1,2,13,14,16,14,0.467,26.587,21.499,0.447
doctor,0.21,62.0,200.0,30,11,0,15,4,4,26,0.867,5.47,61.44,0.918
doctor,0.21,82.0,200.0,30,7,1,14,8,9,21,0.7,14.661,45.19,0.755
doctor,0.21,102.0,200.0,30,2,4,11,13,17,13,0.433,32.661,22.484,0.408
doctor,0.21,122.0,200.0,30,4,14,1,11,25,5,0.167,67.131,16.25,0.195
doctor,0.21,142.0,200.0,30,4,14,1,11,25,5,0.167,67.131,16.25,0.195
doctor,0.21,162.0,200.0,30,0,11,4,15,26,4,0.133,61.44,5.47,0.082
doctor,0.21,182.0,200.0,30,0,15,0,15,30,0,0.0,76.322,0.0,0.0
doctor,0.31,2.0,200.0,30,13,5,10,2,7,23,0.767,21.338,62.043,0.744
doctor,0.31,22.0,200.0,30,3,6,9,12,18,12,0.4,38.734,23.47,0.377
doctor,0.31,42.0,200.0,30,6,1,14,9,10,20,0.667,16.029,41.469,0.721
doctor,0.31,62.0,200.0,30,7,0,15,8,8,22,0.733,10.941,46.557,0.81
doctor,0.31,82.0,200.0,30,6,0,15,9,9,21,0.7,12.308,42.837,0.777
doctor,0.31,102.0,200.0,30,2,5,10,13,18,12,0.4,36.381,21.117,0.367
doctor,0.31,122.0,200.0,30,1,15,0,14,29,1,0.033,74.954,3.721,0.047
doctor,0.31,142.0,200.0,30,0,14,1,15,29,1,0.033,72.601,1.368,0.018
doctor,0.31,162.0,200.0,30,0,14,1,15,29,1,0.033,72.601,1.368,0.018
doctor,0.31,182.0,200.0,30,0,15,0,15,30,0,0.0,76.322,0.0,0.0
doctor,0.41,2.0,200.0,30,12,0,15,3,3,27,0.9,4.103,65.16,0.941
doctor,0.41,22.0,200.0,30,9,0,15,6,6,24,0.8,8.205,53.999,0.868
doctor,0.41,42.0,200.0,30,5,0,15,10,10,20,0.667,13.676,39.116,0.741
doctor,0.41,62.0,200.0,30,7,0,15,8,8,22,0.733,10.941,46.557,0.81
doctor,0.41,82.0,200.0,30,7,0,15,8,8,22,0.733,10.941,46.557,0.81
doctor,0.41,102.0,200.0,30,0,0,15,15,15,15,0.5,20.514,20.514,0.5
doctor,0.41,122.0,200.0,30,2,12,3,13,25,5,0.167,62.425,11.544,0.156
doctor,0.41,142.0,200.0,30,2,13,2,13,26,4,0.133,66.146,10.176,0.133
doctor,0.41,162.0,200.0,30,3,10,5,12,22,8,0.267,53.616,18.0,0.251
doctor,0.41,182.0,200.0,30,0,7,8,15,22,8,0.267,46.557,10.941,0.19
doctor,0.51,2.0,200.0,30,13,0,15,2,2,28,0.933,2.735,68.881,0.962
doctor,0.51,22.0,200.0,30,12,0,15,3,3,27,0.9,4.103,65.16,0.941
doctor,0.51,42.0,200.0,30,6,0,15,9,9,21,0.7,12.308,42.837,0.777
doctor,0.51,62.0,200.0,30,10,0,15,5,5,25,0.833,6.838,57.719,0.894
doctor,0.51,82.0,200.0,30,5,0,15,10,10,20,0.667,13.676,39.116,0.741
doctor,0.51,102.0,200.0,30,8,0,15,7,7,23,0.767,9.573,50.278,0.84
doctor,0.51,122.0,200.0,30,6,3,12,9,12,18,0.6,23.47,38.734,0.623
doctor,0.51,142.0,200.0,30,8,2,13,7,9,21,0.7,17.014,47.543,0.736
doctor,0.51,162.0,200.0,30,7,3,12,8,11,19,0.633,22.102,42.455,0.658
doctor,0.51,182.0,200.0,30,0,0,15,15,15,15,0.5,20.514,20.514,0.5
doctor,0.61,2.0,200.0,30,15,0,15,0,0,30,1.0,0.0,76.322,1.0
doctor,0.61,22.0,200.0,30,12,0,15,3,3,27,0.9,4.103,65.16,0.941
doctor,0.61,42.0,200.0,30,10,0,15,5,5,25,0.833,6.838,57.719,0.894
doctor,0.61,62.0,200.0,30,5,0,15,10,10,20,0.667,13.676,39.116,0.741
doctor,0.61,82.0,200.0,30,7,0,15,8,8,22,0.733,10.941,46.557,0.81
doctor,0.61,102.0,200.0,30,2,0,15,13,13,17,0.567,17.778,27.955,0.611
