series,p,subjective_prob
doctor,0.01,0.05785714285714286
doctor,0.11,0.1891517857142857
doctor,0.21,0.2244642857142857
doctor,0.31,0.25821428571428573
doctor,0.41,0.31875
doctor,0.51,0.4782142857142857
doctor,0.61,0.6063392857142857
doctor,0.71,0.7063392857142857
doctor,0.81,0.7684821428571429
doctor,0.91,0.8425446428571428
family,0.01,0.03848214285714286
family,0.11,0.1579017857142857
family,0.21,0.18348214285714284
family,0.31,0.2275
family,0.41,0.3346875
family,0.51,0.4657142857142857
family,0.61,0.5841071428571428
family,0.71,0.6809821428571429
family,0.81,0.7528571428571429
family,0.91,0.8306696428571428
patient,0.01,0.0384375
patient,0.11,0.1922767857142857
patient,0.21,0.22093749999999998
patient,0.31,0.2465625
patient,0.41,0.315625
patient,0.51,0.4500892857142857
patient,0.61,0.5594642857142857
patient,0.71,0.6653571428571429
patient,0.81,0.7497321428571428
patient,0.91,0.8341071428571428
