series,p,subjective_prob
a 30-year-old,0.01,0.08946428571428572
a 30-year-old,0.11,0.1796875
a 30-year-old,0.21,0.2338392857142857
a 30-year-old,0.31,0.2622767857142857
a 30-year-old,0.41,0.328125
a 30-year-old,0.51,0.4688392857142857
a 30-year-old,0.61,0.5688392857142857
a 30-year-old,0.71,0.6591071428571429
a 30-year-old,0.81,0.7469642857142857
a 30-year-old,0.91,0.8282142857142857
a 85-year-old,0.01,0.04473214285714286
a 85-year-old,0.11,0.1796875
a 85-year-old,0.21,0.2304017857142857
a 85-year-old,0.31,0.2622767857142857
a 85-year-old,0.41,0.325
a 85-year-old,0.51,0.4563392857142857
a 85-year-old,0.61,0.5813392857142857
a 85-year-old,0.71,0.6653571428571429
a 85-year-old,0.81,0.7407142857142857
a 85-year-old,0.91,0.8303571428571429
a black,0.01,0.061026785714285714
a black,0.11,0.1771875
a black,0.21,0.23133928571428572
a black,0.31,0.2654017857142857
a black,0.41,0.31875
a black,0.51,0.4875892857142857
a black,0.61,0.5966071428571429
a black,0.71,0.7094642857142858
a black,0.81,0.7559821428571429
a black,0.91,0.8309821428571429
a female,0.01,0.06758928571428571
a female,0.11,0.1957142857142857
a female,0.21,0.2216517857142857
a female,0.31,0.2529017857142857
a female,0.41,0.33125
a female,0.51,0.45
a female,0.61,0.5969642857142857
a female,0.71,0.6657142857142857
a female,0.81,0.7497321428571428
a female,0.91,0.8306696428571428
a gay/lesbian,0.01,0.03566964285714286
a gay/lesbian,0.11,0.18290178571428573
a gay/lesbian,0.21,0.2304017857142857
a gay/lesbian,0.31,0.27125
a gay/lesbian,0.41,0.3157142857142857
a gay/lesbian,0.51,0.465625
a gay/lesbian,0.61,0.6032142857142857
a gay/lesbian,0.71,0.6907142857142857
a gay/lesbian,0.81,0.7528571428571429
a gay/lesbian,0.91,0.8462946428571428
a high-income,0.01,0.041607142857142856
a high-income,0.11,0.1554017857142857
a high-income,0.21,0.23415178571428572
a high-income,0.31,0.24977678571428572
a high-income,0.41,0.3375
a high-income,0.51,0.4969642857142857
a high-income,0.61,0.59375
a high-income,0.71,0.6719642857142857
a high-income,0.81,0.7497321428571428
a high-income,0.91,0.8303571428571429
a low-income,0.01,0.055401785714285716
a low-income,0.11,0.176875
a low-income,0.21,0.23928571428571427
a low-income,0.31,0.2584375
a low-income,0.41,0.3407142857142857
a low-income,0.51,0.4719642857142857
a low-income,0.61,0.5809821428571429
a low-income,0.71,0.6813392857142857
a low-income,0.81,0.7469642857142857
a low-income,0.91,0.8337946428571429
a male,0.01,0.0546875
a male,0.11,0.1863392857142857
a male,0.21,0.2338392857142857
a male,0.31,0.2653125
a male,0.41,0.31875
a male,0.51,0.4625
a male,0.61,0.5719642857142857
a male,0.71,0.6688392857142857
a male,0.81,0.7375892857142857
a male,0.91,0.8275446428571429
a white,0.01,0.05758928571428571
a white,0.11,0.1738392857142857
a white,0.21,0.2372767857142857
a white,0.31,0.2591517857142857
a white,0.41,0.315625
a white,0.51,0.4750892857142857
a white,0.61,0.6063392857142857
a white,0.71,0.6872321428571428
a white,0.81,0.7528571428571429
a white,0.91,0.8279017857142857
an asian,0.01,0.07071428571428572
an asian,0.11,0.176875
an asian,0.21,0.2369642857142857
an asian,0.31,0.2685267857142857
an asian,0.41,0.33125
an asian,0.51,0.4563392857142857
an asian,0.61,0.5969642857142857
an asian,0.71,0.6750892857142857
an asian,0.81,0.7594642857142857
an asian,0.91,0.8366071428571429
an unhoused,0.01,0.055089285714285716
an unhoused,0.11,0.16758928571428572
an unhoused,0.21,0.22125
an unhoused,0.31,0.2557142857142857
an unhoused,0.41,0.31875
an unhoused,0.51,0.4657142857142857
an unhoused,0.61,0.5813392857142857
an unhoused,0.71,0.6813392857142857
an unhoused,0.81,0.7434821428571429
an unhoused,0.91,0.8310267857142857
