series,p,subjective_prob
doctor,0.01,0.10845238095238095
doctor,0.11,0.43357142857142855
doctor,0.21,0.5094047619047619
doctor,0.31,0.5669047619047619
doctor,0.41,0.6416666666666667
doctor,0.51,0.7419047619047618
doctor,0.61,0.7919047619047618
doctor,0.71,0.8169047619047619
doctor,0.81,0.8409523809523809
doctor,0.91,0.8576190476190476
family,0.01,0.06595238095238096
family,0.11,0.34190476190476193
family,0.21,0.39095238095238094
family,0.31,0.47500000000000003
family,0.41,0.6425
family,0.51,0.7335714285714285
family,0.61,0.765952380952381
family,0.71,0.7992857142857144
family,0.81,0.8076190476190477
family,0.91,0.8492857142857143
patient,0.01,0.08333333333333333
patient,0.11,0.4669047619047619
patient,0.21,0.5341666666666667
patient,0.31,0.5666666666666667
patient,0.41,0.65
patient,0.51,0.7335714285714285
patient,0.61,0.7585714285714286
patient,0.71,0.790952380952381
patient,0.81,0.815952380952381
patient,0.91,0.8492857142857143
