series,p,subjective_prob
doctor,0.01,0.005
doctor,0.11,0.005
doctor,0.21,0.007000000000000001
doctor,0.31,0.015999999999999997
doctor,0.41,0.05
doctor,0.51,0.15
doctor,0.61,0.4600000000000001
doctor,0.71,0.71
doctor,0.81,0.8099999999999999
doctor,0.91,0.898
family,0.01,0.005
family,0.11,0.005
family,0.21,0.018
family,0.31,0.018
family,0.41,0.06
family,0.51,0.15
family,0.61,0.44000000000000006
family,0.71,0.64
family,0.81,0.8
family,0.91,0.889
patient,0.01,0.005
patient,0.11,0.005
patient,0.21,0.006
patient,0.31,0.019
patient,0.41,0.05
patient,0.51,0.12
patient,0.61,0.42000000000000004
patient,0.71,0.6300000000000001
patient,0.81,0.8
patient,0.91,0.8800000000000001
