series,p,subjective_prob
doctor,0.01,0.05
doctor,0.11,0.08
doctor,0.21,0.1
doctor,0.31,0.13
doctor,0.41,0.2
doctor,0.51,0.49000000000000005
doctor,0.61,0.53
doctor,0.71,0.5700000000000001
doctor,0.81,0.64
doctor,0.91,0.7689999999999999
family,0.01,0.039
family,0.11,0.09
family,0.21,0.1
family,0.31,0.13999999999999999
family,0.41,0.24
family,0.51,0.45999999999999996
family,0.61,0.51
family,0.71,0.5800000000000001
family,0.81,0.64
family,0.91,0.75
patient,0.01,0.018
patient,0.11,0.05
patient,0.21,0.06
patient,0.31,0.09
patient,0.41,0.18
patient,0.51,0.44000000000000006
patient,0.61,0.45999999999999996
patient,0.71,0.55
patient,0.81,0.62
patient,0.91,0.77
