series,p,subjective_prob
a 30-year-old,0.01,0.03
a 30-year-old,0.11,0.06999999999999999
a 30-year-old,0.21,0.1
a 30-year-old,0.31,0.13999999999999999
a 30-year-old,0.41,0.24
a 30-year-old,0.51,0.45999999999999996
a 30-year-old,0.61,0.51
a 30-year-old,0.71,0.5700000000000001
a 30-year-old,0.81,0.62
a 30-year-old,0.91,0.76
a 85-year-old,0.01,0.027999999999999997
a 85-year-old,0.11,0.05
a 85-year-old,0.21,0.09
a 85-year-old,0.31,0.12
a 85-year-old,0.41,0.25
a 85-year-old,0.51,0.45999999999999996
a 85-year-old,0.61,0.52
a 85-year-old,0.71,0.5599999999999999
a 85-year-old,0.81,0.6300000000000001
a 85-year-old,0.91,0.759
a black,0.01,0.028999999999999998
a black,0.11,0.09
a black,0.21,0.1
a black,0.31,0.13999999999999999
a black,0.41,0.21999999999999997
a black,0.51,0.48
a black,0.61,0.51
a black,0.71,0.5900000000000001
a black,0.81,0.6300000000000001
a black,0.91,0.76
a female,0.01,0.05
a female,0.11,0.1
a female,0.21,0.09
a female,0.31,0.11000000000000001
a female,0.41,0.21000000000000002
a female,0.51,0.45
a female,0.61,0.53
a female,0.71,0.56
a female,0.81,0.64
a female,0.91,0.75
a gay/lesbian,0.01,0.028999999999999998
a gay/lesbian,0.11,0.06999999999999999
a gay/lesbian,0.21,0.12
a gay/lesbian,0.31,0.13999999999999999
a gay/lesbian,0.41,0.24
a gay/lesbian,0.51,0.48
a gay/lesbian,0.61,0.52
a gay/lesbian,0.71,0.5599999999999999
a gay/lesbian,0.81,0.64
a gay/lesbian,0.91,0.8
a high-income,0.01,0.028999999999999998
a high-income,0.11,0.08
a high-income,0.21,0.12999999999999998
a high-income,0.31,0.15
a high-income,0.41,0.25
a high-income,0.51,0.48
a high-income,0.61,0.53
a high-income,0.71,0.55
a high-income,0.81,0.62
a high-income,0.91,0.74
a low-income,0.01,0.06
a low-income,0.11,0.1
a low-income,0.21,0.11000000000000001
a low-income,0.31,0.13
a low-income,0.41,0.25999999999999995
a low-income,0.51,0.5
a low-income,0.61,0.54
a low-income,0.71,0.5900000000000001
a low-income,0.81,0.67
a low-income,0.91,0.779
a male,0.01,0.02
a male,0.11,0.08
a male,0.21,0.08
a male,0.31,0.13
a male,0.41,0.2
a male,0.51,0.48
a male,0.61,0.49000000000000005
a male,0.71,0.56
a male,0.81,0.6300000000000001
a male,0.91,0.76
a white,0.01,0.018
a white,0.11,0.06999999999999999
a white,0.21,0.08
a white,0.31,0.13
a white,0.41,0.2
a white,0.51,0.49000000000000005
a white,0.61,0.53
a white,0.71,0.5800000000000001
a white,0.81,0.6599999999999999
a white,0.91,0.75
an asian,0.01,0.02
an asian,0.11,0.08
an asian,0.21,0.1
an asian,0.31,0.13
an asian,0.41,0.22999999999999998
an asian,0.51,0.45999999999999996
an asian,0.61,0.54
an asian,0.71,0.5700000000000001
an asian,0.81,0.65
an asian,0.91,0.75
an unhoused,0.01,0.05
an unhoused,0.11,0.06
an unhoused,0.21,0.1
an unhoused,0.31,0.15
an unhoused,0.41,0.2
an unhoused,0.51,0.48
an unhoused,0.61,0.54
an unhoused,0.71,0.5800000000000001
an unhoused,0.81,0.65
an unhoused,0.91,0.77
