series,p,subjective_prob
doctor,0.01,0.005
doctor,0.03,0.005
doctor,0.05,0.005
doctor,0.07,0.005
doctor,0.09,0.005
doctor,0.11,0.005
doctor,0.13,0.005
doctor,0.15,0.005
doctor,0.17,0.005
doctor,0.19,0.005
doctor,0.21,0.01
doctor,0.23,0.01
doctor,0.25,0.005
doctor,0.27,0.01
doctor,0.29,0.011666666666666667
doctor,0.31,0.01
doctor,0.33,0.011666666666666667
doctor,0.35,0.013333333333333334
doctor,0.37,0.016666666666666666
doctor,0.39,0.02
doctor,0.41,0.03666666666666667
doctor,0.43,0.05000000000000001
doctor,0.45,0.05000000000000001
doctor,0.47,0.06333333333333334
doctor,0.49,0.02
doctor,0.51,0.16333333333333333
doctor,0.53,0.19000000000000003
doctor,0.55,0.3033333333333333
doctor,0.57,0.31666666666666665
doctor,0.59,0.3499999999999999
doctor,0.61,0.5333333333333333
doctor,0.63,0.5633333333333334
doctor,0.65,0.6133333333333333
doctor,0.67,0.6066666666666667
doctor,0.69,0.64
doctor,0.71,0.7333333333333334
doctor,0.73,0.7600000000000001
doctor,0.75,0.7733333333333333
doctor,0.77,0.8066666666666666
doctor,0.79,0.81
doctor,0.81,0.8166666666666668
doctor,0.83,0.8433333333333334
doctor,0.85,0.8866666666666667
doctor,0.87,0.91
doctor,0.89,0.9133333333333332
doctor,0.91,0.9266666666666666
doctor,0.93,0.9366666666666666
doctor,0.95,0.9433333333333334
doctor,0.97,0.9500000000000001
doctor,0.99,0.9366666666666666
family,0.01,0.005
family,0.03,0.005
family,0.05,0.005
family,0.07,0.005
family,0.09,0.005
family,0.11,0.005
family,0.13,0.005
family,0.15,0.005
family,0.17,0.006666666666666667
family,0.19,0.006666666666666667
family,0.21,0.013333333333333334
family,0.23,0.013333333333333334
family,0.25,0.008333333333333333
family,0.27,0.013333333333333334
family,0.29,0.013333333333333334
family,0.31,0.016666666666666666
family,0.33,0.013333333333333334
family,0.35,0.03
family,0.37,0.03
family,0.39,0.03333333333333333
family,0.41,0.05666666666666667
family,0.43,0.060000000000000005
family,0.45,0.06333333333333334
family,0.47,0.06666666666666667
family,0.49,0.04
family,0.51,0.19000000000000003
family,0.53,0.25
family,0.55,0.36999999999999994
family,0.57,0.3933333333333333
family,0.59,0.4266666666666667
family,0.61,0.5499999999999999
family,0.63,0.5766666666666667
family,0.65,0.6233333333333334
family,0.67,0.6166666666666667
family,0.69,0.6633333333333333
family,0.71,0.7266666666666667
family,0.73,0.7566666666666667
family,0.75,0.7533333333333333
family,0.77,0.7999999999999999
family,0.79,0.8133333333333334
family,0.81,0.8266666666666667
family,0.83,0.84
family,0.85,0.8633333333333333
family,0.87,0.8799999999999999
family,0.89,0.8933333333333332
family,0.91,0.9166666666666666
family,0.93,0.9266666666666666
family,0.95,0.9316666666666666
family,0.97,0.9550000000000001
family,0.99,0.9333333333333332
patient,0.01,0.005
patient,0.03,0.005
patient,0.05,0.005
patient,0.07,0.005
patient,0.09,0.005
patient,0.11,0.005
patient,0.13,0.005
patient,0.15,0.005
patient,0.17,0.005
patient,0.19,0.005
patient,0.21,0.005
patient,0.23,0.005
patient,0.25,0.005
patient,0.27,0.013333333333333334
patient,0.29,0.013333333333333334
patient,0.31,0.013333333333333334
patient,0.33,0.013333333333333334
patient,0.35,0.013333333333333334
patient,0.37,0.02
patient,0.39,0.02
patient,0.41,0.03333333333333333
patient,0.43,0.03333333333333333
patient,0.45,0.043333333333333335
patient,0.47,0.049999999999999996
patient,0.49,0.023333333333333334
patient,0.51,0.15
patient,0.53,0.17333333333333334
patient,0.55,0.22666666666666666
patient,0.57,0.26
patient,0.59,0.32
patient,0.61,0.49333333333333335
patient,0.63,0.47666666666666674
patient,0.65,0.5433333333333333
patient,0.67,0.5299999999999999
patient,0.69,0.6066666666666666
patient,0.71,0.6766666666666666
patient,0.73,0.6833333333333332
patient,0.75,0.7200000000000001
patient,0.77,0.7466666666666667
patient,0.79,0.7399999999999999
patient,0.81,0.7933333333333333
patient,0.83,0.82
patient,0.85,0.8266666666666667
patient,0.87,0.8766666666666666
patient,0.89,0.8966666666666666
patient,0.91,0.9166666666666666
patient,0.93,0.9166666666666666
patient,0.95,0.9416666666666668
patient,0.97,0.9550000000000001
patient,0.99,0.93
