series,p,subjective_prob
a 10-year-old,0.01,0.005
a 10-year-old,0.03,0.005
a 10-year-old,0.05,0.005
a 10-year-old,0.07,0.005
a 10-year-old,0.09,0.005
a 10-year-old,0.11,0.005
a 10-year-old,0.13,0.005
a 10-year-old,0.15,0.005
a 10-year-old,0.17,0.005
a 10-year-old,0.19,0.005
a 10-year-old,0.21,0.005
a 10-year-old,0.23,0.006666666666666667
a 10-year-old,0.25,0.005
a 10-year-old,0.27,0.013333333333333334
a 10-year-old,0.29,0.013333333333333334
a 10-year-old,0.31,0.013333333333333334
a 10-year-old,0.33,0.013333333333333334
a 10-year-old,0.35,0.02666666666666667
a 10-year-old,0.37,0.02
a 10-year-old,0.39,0.02666666666666667
a 10-year-old,0.41,0.04
a 10-year-old,0.43,0.043333333333333335
a 10-year-old,0.45,0.04
a 10-year-old,0.47,0.049999999999999996
a 10-year-old,0.49,0.02666666666666667
a 10-year-old,0.51,0.16666666666666666
a 10-year-old,0.53,0.19333333333333336
a 10-year-old,0.55,0.30333333333333334
a 10-year-old,0.57,0.30666666666666664
a 10-year-old,0.59,0.36000000000000004
a 10-year-old,0.61,0.51
a 10-year-old,0.63,0.52
a 10-year-old,0.65,0.6
a 10-year-old,0.67,0.54
a 10-year-old,0.69,0.6133333333333333
a 10-year-old,0.71,0.7200000000000001
a 10-year-old,0.73,0.7166666666666668
a 10-year-old,0.75,0.7166666666666667
a 10-year-old,0.77,0.7633333333333333
a 10-year-old,0.79,0.7833333333333333
a 10-year-old,0.81,0.7766666666666667
a 10-year-old,0.83,0.8366666666666666
a 10-year-old,0.85,0.8300000000000001
a 10-year-old,0.87,0.87
a 10-year-old,0.89,0.8733333333333334
a 10-year-old,0.91,0.9133333333333332
a 10-year-old,0.93,0.9266666666666666
a 10-year-old,0.95,0.9333333333333332
a 10-year-old,0.97,0.9500000000000001
a 10-year-old,0.99,0.91
a 30-year-old,0.01,0.005
a 30-year-old,0.03,0.005
a 30-year-old,0.05,0.005
a 30-year-old,0.07,0.005
a 30-year-old,0.09,0.005
a 30-year-old,0.11,0.005
a 30-year-old,0.13,0.005
a 30-year-old,0.15,0.005
a 30-year-old,0.17,0.006666666666666667
a 30-year-old,0.19,0.005
a 30-year-old,0.21,0.013333333333333334
a 30-year-old,0.23,0.008333333333333333
a 30-year-old,0.25,0.01
a 30-year-old,0.27,0.013333333333333334
a 30-year-old,0.29,0.013333333333333334
a 30-year-old,0.31,0.016666666666666666
a 30-year-old,0.33,0.013333333333333334
a 30-year-old,0.35,0.02
a 30-year-old,0.37,0.02666666666666667
a 30-year-old,0.39,0.02666666666666667
a 30-year-old,0.41,0.043333333333333335
a 30-year-old,0.43,0.05333333333333334
a 30-year-old,0.45,0.05666666666666667
a 30-year-old,0.47,0.060000000000000005
a 30-year-old,0.49,0.03333333333333333
a 30-year-old,0.51,0.17
a 30-year-old,0.53,0.21333333333333335
a 30-year-old,0.55,0.2866666666666667
a 30-year-old,0.57,0.29666666666666663
a 30-year-old,0.59,0.37333333333333335
a 30-year-old,0.61,0.5133333333333333
a 30-year-old,0.63,0.5499999999999999
a 30-year-old,0.65,0.6066666666666666
a 30-year-old,0.67,0.5866666666666667
a 30-year-old,0.69,0.6233333333333334
a 30-year-old,0.71,0.68
a 30-year-old,0.73,0.7200000000000001
a 30-year-old,0.75,0.7466666666666666
a 30-year-old,0.77,0.7633333333333333
a 30-year-old,0.79,0.7766666666666667
a 30-year-old,0.81,0.7933333333333333
a 30-year-old,0.83,0.8366666666666666
a 30-year-old,0.85,0.8566666666666668
a 30-year-old,0.87,0.8799999999999999
a 30-year-old,0.89,0.89
a 30-year-old,0.91,0.9
a 30-year-old,0.93,0.9266666666666666
a 30-year-old,0.95,0.93
a 30-year-old,0.97,0.9416666666666668
a 30-year-old,0.99,0.9266666666666667
a 60-year-old,0.01,0.005
a 60-year-old,0.03,0.005
a 60-year-old,0.05,0.005
a 60-year-old,0.07,0.005
a 60-year-old,0.09,0.005
a 60-year-old,0.11,0.005
a 60-year-old,0.13,0.005
a 60-year-old,0.15,0.005
a 60-year-old,0.17,0.005
a 60-year-old,0.19,0.008333333333333333
a 60-year-old,0.21,0.008333333333333333
a 60-year-old,0.23,0.01
a 60-year-old,0.25,0.006666666666666667
a 60-year-old,0.27,0.013333333333333334
a 60-year-old,0.29,0.013333333333333334
a 60-year-old,0.31,0.013333333333333334
a 60-year-old,0.33,0.013333333333333334
a 60-year-old,0.35,0.023333333333333334
a 60-year-old,0.37,0.023333333333333334
a 60-year-old,0.39,0.023333333333333334
a 60-year-old,0.41,0.04666666666666667
a 60-year-old,0.43,0.05000000000000001
a 60-year-old,0.45,0.06
a 60-year-old,0.47,0.05666666666666667
a 60-year-old,0.49,0.03333333333333333
a 60-year-old,0.51,0.17333333333333334
a 60-year-old,0.53,0.19333333333333336
a 60-year-old,0.55,0.29333333333333333
a 60-year-old,0.57,0.3333333333333333
a 60-year-old,0.59,0.3666666666666667
a 60-year-old,0.61,0.49
a 60-year-old,0.63,0.5233333333333333
a 60-year-old,0.65,0.5766666666666667
a 60-year-old,0.67,0.5733333333333334
a 60-year-old,0.69,0.6166666666666667
a 60-year-old,0.71,0.6733333333333333
a 60-year-old,0.73,0.73
a 60-year-old,0.75,0.7233333333333333
a 60-year-old,0.77,0.7766666666666667
a 60-year-old,0.79,0.7933333333333333
a 60-year-old,0.81,0.8266666666666667
a 60-year-old,0.83,0.8233333333333333
a 60-year-old,0.85,0.86
a 60-year-old,0.87,0.8799999999999999
a 60-year-old,0.89,0.89
a 60-year-old,0.91,0.9133333333333332
a 60-year-old,0.93,0.9033333333333333
a 60-year-old,0.95,0.9366666666666666
a 60-year-old,0.97,0.9500000000000001
a 60-year-old,0.99,0.9233333333333333
a 85-year-old,0.01,0.005
a 85-year-old,0.03,0.005
a 85-year-old,0.05,0.005
a 85-year-old,0.07,0.005
a 85-year-old,0.09,0.005
a 85-year-old,0.11,0.005
a 85-year-old,0.13,0.005
a 85-year-old,0.15,0.005
a 85-year-old,0.17,0.005
a 85-year-old,0.19,0.005
a 85-year-old,0.21,0.01
a 85-year-old,0.23,0.006666666666666667
a 85-year-old,0.25,0.005
a 85-year-old,0.27,0.013333333333333334
a 85-year-old,0.29,0.013333333333333334
a 85-year-old,0.31,0.013333333333333334
