"case_id","story","persona","socio_demo","p","risky_reward","certain_reward","template","model","answer_choice","answer_meaning"
"E1_ColorectalCan_PFS_p0.51_ce10.0_family_a 60-year-old_forward","E1_ColorectalCan_PFS","family","a 60-year-old",0.51,"1000.0","10.0","forward","gpt-4.1-mini","Option A","risky"
"E1_ColorectalCan_PFS_p0.11_ce710.0_doctor_a 85-year-old_forward","E1_ColorectalCan_PFS","doctor","a 85-year-old",0.11,"1000.0","710.0","forward","gpt-4.1-mini","Option B","certain"
"E1_ColorectalCan_PFS_p0.01_ce10.0_family_a white_reversed","E1_ColorectalCan_PFS","family","a white",0.01,"1000.0","10.0","reversed","gpt-4.1-mini","Option A","certain"
"E1_ColorectalCan_PFS_p0.11_ce310.0_doctor_an asian_forward","E1_ColorectalCan_PFS","doctor","an asian",0.11,"1000.0","310.0","forward","gpt-4.1-mini","Option A","risky"
"E1_ColorectalCan_PFS_p0.91_ce910.0_family_a gay/lesbian_reversed","E1_ColorectalCan_PFS","family","a gay/lesbian",0.91,"1000.0","910.0","reversed","gpt-4.1-mini","Option B","risky"
"E1_ColorectalCan_PFS_p0.61_ce410.0_doctor_a low-income_reversed","E1_ColorectalCan_PFS","doctor","a low-income",0.61,"1000.0","410.0","reversed","gpt-4.1-mini","Option A","certain"
"E1_ColorectalCan_PFS_p0.91_ce910.0_patient_a 60-year-old_forward","E1_ColorectalCan_PFS","patient","a 60-year-old",0.91,"1000.0","910.0","forward","gpt-4.1-mini","Option A","risky"
"E1_ColorectalCan_PFS_p0.31_ce610.0_patient_a 85-year-old_forward","E1_ColorectalCan_PFS","patient","a 85-year-old",0.31,"1000.0","610.0","forward","gpt-4.1-mini","Option B","certain"
"E1_ColorectalCan_PFS_p0.41_ce410.0_family_a transgender_reversed","E1_ColorectalCan_PFS","family","a transgender",0.41,"1000.0","410.0","reversed","gpt-4.1-mini","Option A","certain"
"E1_ColorectalCan_PFS_p0.51_ce110.0_doctor_an asian_reversed","E1_ColorectalCan_PFS","doctor","an asian",0.51,"1000.0","110.0","reversed","gpt-4.1-mini","Option A","certain"
"E1_ColorectalCan_PFS_p0.41_ce410.0_patient_a 30-year-old_forward","E1_ColorectalCan_PFS","patient","a 30-year-old",0.41,"1000.0","410.0","forward","gpt-4.1-mini","Option A","risky"
"E1_ColorectalCan_PFS_p0.41_ce910.0_family_a low-income_reversed","E1_ColorectalCan_PFS","family","a low-income",0.41,"1000.0","910.0","reversed","gpt-4.1-mini","Option A","certain"
"E1_ColorectalCan_PFS_p0.71_ce910.0_patient_an asian_reversed","E1_ColorectalCan_PFS","patient","an asian",0.71,"1000.0","910.0","reversed","gpt-4.1-mini","Option A","certain"
