"case_id","story","persona","socio_demo","p","risky_reward","certain_reward","template","model","answer_choice","answer_meaning"
"E3_HT_BP_p0.31_ce0.3_family_a male_forward","E3_HT_BP","family","a male",0.31,"30.0","0.3","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"E3_HT_BP_p0.71_ce18.3_family_a male_forward","E3_HT_BP","family","a male",0.71,"30.0","18.3","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"E3_HT_BP_p0.01_ce18.3_doctor_a 30-year-old_reversed","E3_HT_BP","doctor","a 30-year-old",0.01,"30.0","18.3","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E3_HT_BP_p0.71_ce12.3_family_a 85-year-old_reversed","E3_HT_BP","family","a 85-year-old",0.71,"30.0","12.3","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E3_HT_BP_p0.11_ce12.3_patient_a low-income_reversed","E3_HT_BP","patient","a low-income",0.11,"30.0","12.3","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E3_HT_BP_p0.21_ce24.3_patient_an asian_reversed","E3_HT_BP","patient","an asian",0.21,"30.0","24.3","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E3_HT_BP_p0.41_ce24.3_doctor_an asian_forward","E3_HT_BP","doctor","an asian",0.41,"30.0","24.3","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E3_HT_BP_p0.51_ce27.3_family_a male_forward","E3_HT_BP","family","a male",0.51,"30.0","27.3","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E3_HT_BP_p0.91_ce9.3_doctor_an unhoused_forward","E3_HT_BP","doctor","an unhoused",0.91,"30.0","9.3","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"E3_HT_BP_p0.51_ce12.3_doctor_an asian_forward","E3_HT_BP","doctor","an asian",0.51,"30.0","12.3","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E3_HT_BP_p0.11_ce0.3_family_a high-income_forward","E3_HT_BP","family","a high-income",0.11,"30.0","0.3","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E3_HT_BP_p0.81_ce3.3_patient_a gay/lesbian_reversed","E3_HT_BP","patient","a gay/lesbian",0.81,"30.0","3.3","reversed","Qwen/Qwen2.5-72B-Instruct","Option B","risky"
"E3_HT_BP_p0.71_ce3.3_doctor_a white_forward","E3_HT_BP","doctor","a white",0.71,"30.0","3.3","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"E3_HT_BP_p0.31_ce21.3_family_a 85-year-old_forward","E3_HT_BP","family","a 85-year-old",0.31,"30.0","21.3","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
