"case_id","story","persona","socio_demo","p","risky_reward","certain_reward","template","model","answer_choice","answer_meaning"
"E5_Alzheimers_NPI_p0.31_ce1.0_family_a male_forward","E5_Alzheimers_NPI","family","a male",0.31,"100.0","1.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.71_ce61.0_family_a male_forward","E5_Alzheimers_NPI","family","a male",0.71,"100.0","61.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.01_ce61.0_doctor_a 30-year-old_reversed","E5_Alzheimers_NPI","doctor","a 30-year-old",0.01,"100.0","61.0","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E5_Alzheimers_NPI_p0.71_ce41.0_family_a 85-year-old_reversed","E5_Alzheimers_NPI","family","a 85-year-old",0.71,"100.0","41.0","reversed","Qwen/Qwen2.5-72B-Instruct","Option B","risky"
"E5_Alzheimers_NPI_p0.11_ce41.0_patient_a low-income_reversed","E5_Alzheimers_NPI","patient","a low-income",0.11,"100.0","41.0","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E5_Alzheimers_NPI_p0.21_ce81.0_patient_an asian_reversed","E5_Alzheimers_NPI","patient","an asian",0.21,"100.0","81.0","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E5_Alzheimers_NPI_p0.41_ce81.0_doctor_an asian_forward","E5_Alzheimers_NPI","doctor","an asian",0.41,"100.0","81.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.51_ce91.0_family_a male_forward","E5_Alzheimers_NPI","family","a male",0.51,"100.0","91.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.91_ce31.0_doctor_an unhoused_forward","E5_Alzheimers_NPI","doctor","an unhoused",0.91,"100.0","31.0","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"E5_Alzheimers_NPI_p0.51_ce41.0_doctor_an asian_forward","E5_Alzheimers_NPI","doctor","an asian",0.51,"100.0","41.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.11_ce1.0_family_a high-income_forward","E5_Alzheimers_NPI","family","a high-income",0.11,"100.0","1.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.81_ce11.0_patient_a gay/lesbian_reversed","E5_Alzheimers_NPI","patient","a gay/lesbian",0.81,"100.0","11.0","reversed","Qwen/Qwen2.5-72B-Instruct","Option B","risky"
"E5_Alzheimers_NPI_p0.71_ce11.0_doctor_a white_forward","E5_Alzheimers_NPI","doctor","a white",0.71,"100.0","11.0","forward","Qwen/Qwen2.5-72B-Instruct","Option A","risky"
"E5_Alzheimers_NPI_p0.31_ce71.0_family_a 85-year-old_forward","E5_Alzheimers_NPI","family","a 85-year-old",0.31,"100.0","71.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.81_ce81.0_family_a black_forward","E5_Alzheimers_NPI","family","a black",0.81,"100.0","81.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.11_ce81.0_family_a male_forward","E5_Alzheimers_NPI","family","a male",0.11,"100.0","81.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.41_ce41.0_doctor_a female_forward","E5_Alzheimers_NPI","doctor","a female",0.41,"100.0","41.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
"E5_Alzheimers_NPI_p0.01_ce11.0_patient_a gay/lesbian_reversed","E5_Alzheimers_NPI","patient","a gay/lesbian",0.01,"100.0","11.0","reversed","Qwen/Qwen2.5-72B-Instruct","Option A","certain"
"E5_Alzheimers_NPI_p0.01_ce91.0_family_a male_forward","E5_Alzheimers_NPI","family","a male",0.01,"100.0","91.0","forward","Qwen/Qwen2.5-72B-Instruct","Option B","certain"
