"case_id","story","persona","socio_demo","p","risky_reward","certain_reward","template","model","answer_choice","answer_meaning"
"C7_HCV_aiding_p0.51_ce50.0_family_a 60-year-old_forward","C7_HCV_aiding","family","a 60-year-old",0.51,"5000.0","50.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"C7_HCV_aiding_p0.11_ce3550.0_doctor_a 85-year-old_forward","C7_HCV_aiding","doctor","a 85-year-old",0.11,"5000.0","3550.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"C7_HCV_aiding_p0.01_ce50.0_family_a white_reversed","C7_HCV_aiding","family","a white",0.01,"5000.0","50.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option A","certain"
"C7_HCV_aiding_p0.11_ce1550.0_doctor_an asian_forward","C7_HCV_aiding","doctor","an asian",0.11,"5000.0","1550.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"C7_HCV_aiding_p0.91_ce4550.0_family_a gay/lesbian_reversed","C7_HCV_aiding","family","a gay/lesbian",0.91,"5000.0","4550.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option A","certain"
"C7_HCV_aiding_p0.61_ce2050.0_doctor_a low-income_reversed","C7_HCV_aiding","doctor","a low-income",0.61,"5000.0","2050.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","risky"
"C7_HCV_aiding_p0.91_ce4550.0_patient_a 60-year-old_forward","C7_HCV_aiding","patient","a 60-year-old",0.91,"5000.0","4550.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"C7_HCV_aiding_p0.31_ce3050.0_patient_a 85-year-old_forward","C7_HCV_aiding","patient","a 85-year-old",0.31,"5000.0","3050.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"C7_HCV_aiding_p0.41_ce2050.0_family_a transgender_reversed","C7_HCV_aiding","family","a transgender",0.41,"5000.0","2050.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","risky"
"C7_HCV_aiding_p0.51_ce550.0_doctor_an asian_reversed","C7_HCV_aiding","doctor","an asian",0.51,"5000.0","550.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option A","certain"
