"case_id","story","persona","socio_demo","p","risky_reward","certain_reward","template","model","answer_choice","answer_meaning"
"S2_SLE_infection_p0.51_ce5.0_family_a 60-year-old_forward","S2_SLE_infection","family","a 60-year-old",0.51,"500.0","5.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"S2_SLE_infection_p0.11_ce355.0_doctor_a 85-year-old_forward","S2_SLE_infection","doctor","a 85-year-old",0.11,"500.0","355.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"S2_SLE_infection_p0.01_ce5.0_family_a white_reversed","S2_SLE_infection","family","a white",0.01,"500.0","5.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","risky"
"S2_SLE_infection_p0.11_ce155.0_doctor_an asian_forward","S2_SLE_infection","doctor","an asian",0.11,"500.0","155.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"S2_SLE_infection_p0.91_ce455.0_family_a gay/lesbian_reversed","S2_SLE_infection","family","a gay/lesbian",0.91,"500.0","455.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","risky"
"S2_SLE_infection_p0.61_ce205.0_doctor_a low-income_reversed","S2_SLE_infection","doctor","a low-income",0.61,"500.0","205.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","risky"
"S2_SLE_infection_p0.91_ce455.0_patient_a 60-year-old_forward","S2_SLE_infection","patient","a 60-year-old",0.91,"500.0","455.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"S2_SLE_infection_p0.31_ce305.0_patient_a 85-year-old_forward","S2_SLE_infection","patient","a 85-year-old",0.31,"500.0","305.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
"S2_SLE_infection_p0.41_ce205.0_family_a transgender_reversed","S2_SLE_infection","family","a transgender",0.41,"500.0","205.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","risky"
"S2_SLE_infection_p0.51_ce55.0_doctor_an asian_reversed","S2_SLE_infection","doctor","an asian",0.51,"500.0","55.0","reversed","Qwen/Qwen3-30B-A3B-Instruct-2507","Option A","certain"
"S2_SLE_infection_p0.41_ce205.0_patient_a 30-year-old_forward","S2_SLE_infection","patient","a 30-year-old",0.41,"500.0","205.0","forward","Qwen/Qwen3-30B-A3B-Instruct-2507","Option B","certain"
