case_id,persona,p,risky_reward,certain_reward,model,template,option_arm,answer_choice,answer_meaning,reason
p_0.26_ce_805_patient_5_forward,patient,0.26,1000,805,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of a guaranteed 805 recurrence-free days over a risky chance at 1000 days.
p_0.76_ce_805_family_5_reversed,family,0.76,1000,805,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days rather than taking a risk for potentially longer but uncertain benefits.
p_0.51_ce_205_patient_4_forward,patient,0.51,1000,205,gpt-4.1-mini,forward,,Option A,risky,I am willing to take the risk for a chance at a significantly longer recurrence-free period despite the uncertainty.
p_0.51_ce_5_family_4_forward,family,0.51,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period despite the risk, rather than settle for a very short guaranteed time."
p_0.51_ce_5_patient_3_reversed,patient,0.51,1000,5,gpt-4.1-mini,reversed,,Option B,risky,"I prefer to take the chance for a significantly longer recurrence-free period, even with some risk, rather than a guaranteed but very short benefit."
p_0.76_ce_405_patient_4_reversed,patient,0.76,1000,405,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of 405 recurrence-free days over the risk of not achieving the longer 1000 days.
p_0.01_ce_205_family_2_forward,family,0.01,1000,205,gpt-4.1-mini,forward,,Option B,certain,I prefer the certainty of 205 recurrence-free days rather than risking almost no benefit with Option A.
p_0.76_ce_5_patient_2_forward,patient,0.76,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period despite the risk, as quality and length of life are important to me."
p_0.76_ce_805_patient_4_forward,patient,0.76,1000,805,gpt-4.1-mini,forward,,Option B,certain,"I prefer the certainty of 805 recurrence-free days over the risk of getting less, even if the chance of 1000 days is higher."
p_0.51_ce_405_patient_3_forward,patient,0.51,1000,405,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a longer recurrence-free period, accepting the risk for a better outcome."
p_0.76_ce_5_patient_1_forward,patient,0.76,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I prefer the chance of a significantly longer recurrence-free period, accepting the risk for a better outcome."
p_0.01_ce_805_doctor_3_reversed,doctor,0.01,1000,805,gpt-4.1-mini,reversed,,Option A,certain,"I prefer the certainty of 805 recurrence-free days over a very low probability of extended benefit, prioritizing guaranteed outcomes in advanced cancer."
p_0.51_ce_5_family_5_reversed,family,0.51,1000,5,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of 5 recurrence-free days rather than risking no benefit with the chance of a longer period.
p_0.01_ce_5_doctor_5_forward,doctor,0.01,1000,5,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period despite the low probability, valuing quality of life over guaranteed minimal benefit."
p_0.76_ce_805_doctor_2_reversed,doctor,0.76,1000,805,gpt-4.1-mini,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days over the risk of a lower expected value with Option B.
p_0.51_ce_205_patient_2_forward,patient,0.51,1000,205,gpt-4.1-mini,forward,,Option A,risky,"I prefer to take the chance for a significantly longer recurrence-free period despite the risk, valuing potential quality time over certainty."
