case_id,persona,p,risky_reward,certain_reward,model,template,option_arm,answer_choice,answer_meaning,reason
p_0.26_ce_805_patient_5_forward,patient,0.26,1000,805,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 805 recurrence-free days rather than risking it for a small chance at more time.
p_0.76_ce_805_family_5_reversed,family,0.76,1000,805,gpt-4.1,reversed,,Option A,certain,I value certainty and would prefer the guaranteed 805 recurrence-free days rather than taking a risk.
p_0.51_ce_205_patient_4_forward,patient,0.51,1000,205,gpt-4.1,forward,,Option A,risky,"I am willing to take the chance for a significantly longer recurrence-free period, even if it is not guaranteed."
p_0.51_ce_5_family_4_forward,family,0.51,1000,5,gpt-4.1,forward,,Option A,risky,"I would prefer to take the chance for a much longer period without recurrence, even if it's not guaranteed."
p_0.51_ce_5_patient_3_reversed,patient,0.51,1000,5,gpt-4.1,reversed,,Option B,risky,"I am willing to take the risk for a much longer period without recurrence, as 5 days is not meaningful enough for me."
p_0.76_ce_405_patient_4_reversed,patient,0.76,1000,405,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 405 recurrence-free days rather than risking the chance that I might not get the longer benefit.
p_0.01_ce_205_family_2_forward,family,0.01,1000,205,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 205 recurrence-free days rather than risking almost no benefit for a very small chance at a longer period.
p_0.76_ce_5_patient_2_forward,patient,0.76,1000,5,gpt-4.1,forward,,Option A,risky,I prefer taking the risk for a much longer recurrence-free period rather than settling for only 5 guaranteed days.
p_0.76_ce_805_patient_4_forward,patient,0.76,1000,805,gpt-4.1,forward,,Option B,certain,"I prefer the certainty of 805 days rather than taking a chance, given my age and health situation."
p_0.51_ce_405_patient_3_forward,patient,0.51,1000,405,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 405 good days rather than risking a shorter time with the uncertainty of Option A.
p_0.76_ce_5_patient_1_forward,patient,0.76,1000,5,gpt-4.1,forward,,Option A,risky,"I want to maximize my chance for a longer recurrence-free period, even if there is some risk involved."
p_0.01_ce_805_doctor_3_reversed,doctor,0.01,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days over the very low chance of a longer period.
p_0.51_ce_5_family_5_reversed,family,0.51,1000,5,gpt-4.1,reversed,,Option B,risky,"I would prefer to take the chance at a much longer period without recurrence, even if it is not guaranteed."
p_0.01_ce_5_doctor_5_forward,doctor,0.01,1000,5,gpt-4.1,forward,,Option A,risky,I value the small chance of a significant improvement in recurrence-free days over the certainty of a very short benefit.
p_0.76_ce_805_doctor_2_reversed,doctor,0.76,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days rather than risking fewer days for the possibility of more.
p_0.51_ce_205_patient_2_forward,patient,0.51,1000,205,gpt-4.1,forward,,Option A,risky,"I am willing to take the risk for a chance at much more time, even if the odds aren't great."
p_0.51_ce_605_doctor_4_reversed,doctor,0.51,1000,605,gpt-4.1,reversed,,Option A,certain,"I prefer the certainty of 605 recurrence-free days rather than taking a risk, even for a higher potential benefit."
p_0.26_ce_205_doctor_4_forward,doctor,0.26,1000,205,gpt-4.1,forward,,Option B,certain,I prefer the certainty of guaranteed recurrence-free days rather than risking having far fewer with the first option.
p_0.51_ce_5_doctor_5_forward,doctor,0.51,1000,5,gpt-4.1,forward,,Option A,risky,"I would prefer to take the chance for a significantly longer period of recurrence-free days, even if it is not guaranteed."
p_0.76_ce_405_family_3_forward,family,0.76,1000,405,gpt-4.1,forward,,Option A,risky,"I am willing to take the risk for a much longer recurrence-free period, hoping for more quality time."
p_0.76_ce_805_doctor_5_reversed,doctor,0.76,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days rather than risking a shorter outcome with the chance-based option.
p_0.51_ce_5_family_4_reversed,family,0.51,1000,5,gpt-4.1,reversed,,Option B,risky,"I would rather take the chance for a much longer recurrence-free period, even if it is not guaranteed."
p_0.51_ce_805_doctor_3_reversed,doctor,0.51,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days over the risk of possibly achieving 1000 days but with a significant chance of getting less.
p_0.01_ce_5_doctor_5_reversed,doctor,0.01,1000,5,gpt-4.1,reversed,,Option A,certain,"I prefer the certainty of a few good days over the slim chance of a much longer period, as I value guaranteed quality time."
p_0.26_ce_205_patient_3_forward,patient,0.26,1000,205,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 205 recurrence-free days rather than risking a short outcome with the other option.
p_0.26_ce_805_family_4_reversed,family,0.26,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days rather than taking a risk with only a 26% chance of a longer benefit.
p_0.76_ce_205_family_5_reversed,family,0.76,1000,205,gpt-4.1,reversed,,Option B,risky,"I am willing to take the chance for a much longer period without recurrence, even if it is not guaranteed."
