case_id,persona,p,risky_reward,certain_reward,model,template,option_arm,answer_choice,answer_meaning,reason
p_0.51_ce_605_doctor_4_reversed,doctor,0.51,1000,605,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 605 recurrence-free days over the risk that comes with only a 51% chance of a longer benefit.
p_0.01_ce_5_doctor_8_reversed,doctor,0.01,1000,5,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of some benefit rather than risking almost no benefit at all.
p_0.01_ce_205_family_5_reversed,family,0.01,1000,205,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 205 recurrence-free days over the very small chance of a much longer period.
p_0.51_ce_205_doctor_4_forward,doctor,0.51,1000,205,gpt-4.1,forward,,Option A,risky,"I prefer taking a chance at a significantly longer recurrence-free period, accepting some risk for the possibility of a much better outcome."
p_0.51_ce_205_family_7_reversed,family,0.51,1000,205,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 205 recurrence-free days rather than taking a chance with only a 51% probability of a longer outcome.
p_0.51_ce_605_patient_1_reversed,patient,0.51,1000,605,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 605 recurrence-free days over the risk of possibly getting less with Option B.
p_0.76_ce_605_patient_8_forward,patient,0.76,1000,605,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 605 recurrence-free days over risking a chance of getting less.
p_0.01_ce_5_doctor_5_forward,doctor,0.01,1000,5,gpt-4.1,forward,,Option A,risky,I value the small chance of a significantly longer recurrence-free period over the certainty of a very short benefit.
p_0.51_ce_5_patient_4_reversed,patient,0.51,1000,5,gpt-4.1,reversed,,Option B,risky,I am willing to take the risk for a chance at significantly more recurrence-free days rather than settling for a guaranteed but very short benefit.
p_0.51_ce_5_family_3_forward,family,0.51,1000,5,gpt-4.1,forward,,Option A,risky,I am willing to take the risk for a much higher chance at a longer recurrence-free period.
p_0.76_ce_605_doctor_9_forward,doctor,0.76,1000,605,gpt-4.1,forward,,Option A,risky,"I prefer taking the higher chance at a much longer recurrence-free period, accepting the risk for the potential greater benefit."
p_0.51_ce_805_doctor_4_reversed,doctor,0.51,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 805 recurrence-free days rather than risking a nearly 50% chance of receiving nothing extra.
p_0.51_ce_205_doctor_1_forward,doctor,0.51,1000,205,gpt-4.1,forward,,Option A,risky,"I prefer to take the chance for a much longer recurrence-free period, even though the probability is only slightly better than 50%."
