case_id,persona,p,risky_reward,certain_reward,model,template,option_arm,answer_choice,answer_meaning,reason
p_0.51_ce_605_doctor_4_reversed,doctor,0.51,1000,605,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 605 recurrence-free days over the risk associated with Option B.
p_0.01_ce_5_doctor_8_reversed,doctor,0.01,1000,5,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of a few good days rather than risking almost nothing for a very small chance at many more.
p_0.01_ce_205_family_5_reversed,family,0.01,1000,205,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 205 recurrence-free days rather than risking almost no benefit for a very small chance at a longer period.
p_0.51_ce_205_doctor_4_forward,doctor,0.51,1000,205,gpt-4.1,forward,,Option A,risky,"I value the chance for a much longer recurrence-free period, even if it comes with some uncertainty."
p_0.51_ce_205_family_7_reversed,family,0.51,1000,205,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of having 205 recurrence-free days rather than risking a shorter period without knowing the outcome.
p_0.51_ce_605_patient_1_reversed,patient,0.51,1000,605,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 605 recurrence-free days rather than take a risk that might leave me with less time.
p_0.76_ce_605_patient_8_forward,patient,0.76,1000,605,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 605 recurrence-free days rather than risking getting much less time if the first drug does not work for me.
p_0.01_ce_5_doctor_5_forward,doctor,0.01,1000,5,gpt-4.1,forward,,Option A,risky,I value the small chance at a much longer recurrence-free period over the certainty of just five days.
p_0.51_ce_5_patient_4_reversed,patient,0.51,1000,5,gpt-4.1,reversed,,Option B,risky,"I am willing to take the risk for a much longer period without recurrence, hoping for the best possible outcome."
p_0.51_ce_5_family_3_forward,family,0.51,1000,5,gpt-4.1,forward,,Option A,risky,"I am willing to take the risk for a much higher chance of a longer recurrence-free period, even though it is not guaranteed."
p_0.76_ce_605_doctor_9_forward,doctor,0.76,1000,605,gpt-4.1,forward,,Option A,risky,I value the chance for a significantly longer recurrence-free period and am willing to accept some risk for that possibility.
p_0.51_ce_805_doctor_4_reversed,doctor,0.51,1000,805,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of a guaranteed 805 recurrence-free days over the risk of possibly getting nothing with Option B.
p_0.51_ce_205_doctor_1_forward,doctor,0.51,1000,205,gpt-4.1,forward,,Option A,risky,I am willing to take the higher risk for a better chance at a significantly longer recurrence-free period.
p_0.51_ce_605_family_9_forward,family,0.51,1000,605,gpt-4.1,forward,,Option B,certain,I value certainty and would prefer to guarantee as many good days as possible rather than take a risk.
p_0.01_ce_5_patient_7_reversed,patient,0.01,1000,5,gpt-4.1,reversed,,Option A,certain,"I prefer the certainty of some extra days, rather than risking getting nothing at all."
p_0.76_ce_205_family_7_forward,family,0.76,1000,205,gpt-4.1,forward,,Option A,risky,"I would prefer to take the chance at a longer recurrence-free period, even if there is some risk involved."
p_0.26_ce_405_doctor_4_forward,doctor,0.26,1000,405,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 405 recurrence-free days rather than risking a much lower expected outcome with Option A.
p_0.01_ce_805_family_2_forward,family,0.01,1000,805,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 805 recurrence-free days rather than risking almost nothing for a small chance at a longer period.
p_0.01_ce_405_family_7_forward,family,0.01,1000,405,gpt-4.1,forward,,Option B,certain,I prefer the certainty of 405 recurrence-free days rather than risking almost no benefit for a very slim chance at more time.
p_0.26_ce_205_doctor_2_reversed,doctor,0.26,1000,205,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 205 recurrence-free days over the risk of potentially getting nothing with Option B.
p_0.26_ce_805_doctor_9_forward,doctor,0.26,1000,805,gpt-4.1,forward,,Option B,certain,I value certainty at my age and would prefer a guaranteed 805 recurrence-free days rather than taking a risk.
p_0.01_ce_205_family_1_reversed,family,0.01,1000,205,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of more guaranteed healthy days rather than taking a big risk with a very small chance for a much longer period.
p_0.01_ce_605_doctor_7_reversed,doctor,0.01,1000,605,gpt-4.1,reversed,,Option A,certain,I prefer the certainty of 605 recurrence-free days over the very low chance of a longer benefit.
p_0.76_ce_205_doctor_3_reversed,doctor,0.76,1000,205,gpt-4.1,reversed,,Option B,risky,"I value the chance for a much longer recurrence-free period, even if there is some risk involved."
p_0.01_ce_805_doctor_4_reversed,doctor,0.01,1000,805,gpt-4.1,reversed,,Option A,certain,I value certainty at my age and prefer a guaranteed outcome rather than risking almost certain failure for a small chance at a slightly longer period.
p_0.76_ce_405_family_10_forward,family,0.76,1000,405,gpt-4.1,forward,,Option A,risky,I am willing to take the risk for a higher chance at a longer recurrence-free period.
p_0.51_ce_205_family_6_forward,family,0.51,1000,205,gpt-4.1,forward,,Option A,risky,"I am willing to take the chance for a longer period without recurrence, even if it is not guaranteed."
