"case_id","persona","p","risky_reward","certain_reward","model","template","age","cancer_type","answer_choice","answer_meaning","reason"
"p_1.00_ce_0_family_lung_cancer_50_reversed","family",1.0,1000,0,"gpt-4.1-mini","reversed",50,"lung_cancer","Option B","risky","I would choose the option that guarantees a significant period without recurrence, as it offers a clear benefit in quality and length of life."
"p_0.00_ce_0_family_lung_cancer_60_reversed","family",0.0,1000,0,"gpt-4.1-mini","reversed",60,"lung_cancer","Option A","certain","Option A guarantees certainty, avoiding false hope, while Option B offers no chance of recurrence-free days, making Option A the clearer choice despite its certainty of zero benefit."
"p_0.50_ce_1000_doctor_lung_cancer_80_forward","doctor",0.5,1000,1000,"gpt-4.1-mini","forward",80,"lung_cancer","Option B","certain","At my age, certainty of 1000 recurrence-free days is more valuable than a risky 50% chance, as I prefer guaranteed stability over uncertainty."
"p_0.50_ce_500_family_prostate_cancer_80_reversed","family",0.5,1000,500,"gpt-4.1-mini","reversed",80,"prostate_cancer","Option A","certain","I prefer the certainty of a guaranteed 500 recurrence-free days rather than risking getting nothing with the 50% chance in Option B."
"p_0.50_ce_500_family_gstric_cancer_60_reversed","family",0.5,1000,500,"gpt-4.1-mini","reversed",60,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking no additional benefit with a 50% chance."
"p_0.00_ce_0_family_prostate_cancer_60_reversed","family",0.0,1000,0,"gpt-4.1-mini","reversed",60,"prostate_cancer","Option A","certain","Since Option B offers no chance of recurrence-free days, I would choose Option A which, although guarantees no recurrence-free days, does not rule out other benefits or treatments."
"p_1.00_ce_0_family_breast_cancer_50_reversed","family",1.0,1000,0,"gpt-4.1-mini","reversed",50,"breast_cancer","Option B","risky","I would choose the treatment that guarantees a significant period of recurrence-free days, as it offers a clear benefit and hope for more quality time."
"p_0.50_ce_500_doctor_prostate_cancer_50_forward","doctor",0.5,1000,500,"gpt-4.1-mini","forward",50,"prostate_cancer","Option B","certain","I prefer the certainty of guaranteed recurrence-free days to avoid the risk of receiving no benefit, valuing consistent quality of life over potential maximum gain."
"p_0.50_ce_1000_patient_gstric_cancer_80_reversed","patient",0.5,1000,1000,"gpt-4.1-mini","reversed",80,"gstric_cancer","Option A","certain","At my age and with limited treatment options, I prefer the certainty of guaranteed recurrence-free days over a risky gamble."
"p_1.00_ce_1000_patient_colorectal_cancer_50_forward","patient",1.0,1000,1000,"gpt-4.1-mini","forward",50,"colorectal_cancer","Option A","risky","Both options provide the same outcome with certainty, but Option A explicitly states the probability and outcome clearly, aligning with my preference for transparency in treatment effects."
"p_1.00_ce_500_family_breast_cancer_80_forward","family",1.0,1000,500,"gpt-4.1-mini","forward",80,"breast_cancer","Option A","risky","I would prefer the treatment that offers a longer guaranteed recurrence-free period for better quality of life and peace of mind."
"p_0.00_ce_500_patient_prostate_cancer_60_forward","patient",0.0,1000,500,"gpt-4.1-mini","forward",60,"prostate_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit at all with Option A."
"p_1.00_ce_0_patient_colorectal_cancer_50_reversed","patient",1.0,1000,0,"gpt-4.1-mini","reversed",50,"colorectal_cancer","Option B","risky","I would choose the drug that guarantees 1000 recurrence-free days as it offers a meaningful period of remission and better quality of life."
"p_0.00_ce_0_family_colorectal_cancer_60_forward","family",0.0,1000,0,"gpt-4.1-mini","forward",60,"colorectal_cancer","Option B","certain","Since Option A offers no chance of recurrence-free days, I prefer the certainty of Option B to avoid false hope and focus on quality of life."
"p_0.50_ce_500_patient_gstric_cancer_70_reversed","patient",0.5,1000,500,"gpt-4.1-mini","reversed",70,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking getting nothing with the 50% chance option."
"p_1.00_ce_500_family_gstric_cancer_60_forward","family",1.0,1000,500,"gpt-4.1-mini","forward",60,"gstric_cancer","Option A","risky","I would prefer the treatment that offers the longest guaranteed recurrence-free period, maximizing quality and quantity of life."
"p_1.00_ce_500_doctor_breast_cancer_70_forward","doctor",1.0,1000,500,"gpt-4.1-mini","forward",70,"breast_cancer","Option A","risky","I prefer the certainty of the longest recurrence-free period to maximize quality and quantity of life without cancer recurrence."
"p_0.50_ce_500_doctor_gstric_cancer_60_reversed","doctor",0.5,1000,500,"gpt-4.1-mini","reversed",60,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days over the riskier 50% chance of 1000 days, valuing guaranteed quality time."
"p_0.00_ce_0_patient_lung_cancer_60_forward","patient",0.0,1000,0,"gpt-4.1-mini","forward",60,"lung_cancer","Option B","certain","Since Option A offers no chance of recurrence-free days, choosing the guaranteed outcome in Option B avoids false hope and allows me to prepare realistically."
"p_1.00_ce_1000_patient_colorectal_cancer_70_forward","patient",1.0,1000,1000,"gpt-4.1-mini","forward",70,"colorectal_cancer","Option A","risky","Both options offer the same outcome with certainty, but Option A's phrasing feels more straightforward and trustworthy to me."
"p_0.00_ce_1000_doctor_lung_cancer_60_reversed","doctor",0.0,1000,1000,"gpt-4.1-mini","reversed",60,"lung_cancer","Option A","certain","I would choose the guaranteed 1000 recurrence-free days because certainty in treatment outcome provides the best quality of life and peace of mind."
"p_0.50_ce_1000_patient_gstric_cancer_70_forward","patient",0.5,1000,1000,"gpt-4.1-mini","forward",70,"gstric_cancer","Option B","certain","I prefer certainty in my limited time, so a guaranteed 1000 recurrence-free days is more valuable to me than a 50% chance of the same."
"p_0.50_ce_500_doctor_prostate_cancer_70_reversed","doctor",0.5,1000,500,"gpt-4.1-mini","reversed",70,"prostate_cancer","Option A","certain","I prefer the certainty of guaranteed recurrence-free days over the risk of potentially receiving no benefit."
"p_0.50_ce_500_patient_colorectal_cancer_60_reversed","patient",0.5,1000,500,"gpt-4.1-mini","reversed",60,"colorectal_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit with a 50% chance at 1000 days."
"p_0.00_ce_500_doctor_prostate_cancer_70_reversed","doctor",0.0,1000,500,"gpt-4.1-mini","reversed",70,"prostate_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit with Option B."
"p_0.00_ce_0_patient_gstric_cancer_80_reversed","patient",0.0,1000,0,"gpt-4.1-mini","reversed",80,"gstric_cancer","Option A","certain","Choosing a guaranteed outcome, even if poor, avoids false hope and allows me to focus on quality of life rather than uncertainty."
"p_0.00_ce_1000_patient_lung_cancer_80_reversed","patient",0.0,1000,1000,"gpt-4.1-mini","reversed",80,"lung_cancer","Option A","certain","I prefer the certainty of 1000 recurrence-free days rather than risking no benefit, given my condition and limited options."
"p_1.00_ce_1000_doctor_colorectal_cancer_50_forward","doctor",1.0,1000,1000,"gpt-4.1-mini","forward",50,"colorectal_cancer","Option B","certain","Both options guarantee the same outcome with certainty, but Option B explicitly states this guarantee, providing clear confidence in the treatment's effectiveness."
"p_1.00_ce_500_patient_colorectal_cancer_70_forward","patient",1.0,1000,500,"gpt-4.1-mini","forward",70,"colorectal_cancer","Option A","risky","I prefer the guaranteed longer recurrence-free period of 1000 days, maximizing my quality time without cancer returning."
"p_0.50_ce_1000_doctor_lung_cancer_80_reversed","doctor",0.5,1000,1000,"gpt-4.1-mini","reversed",80,"lung_cancer","Option A","certain","At my age, I prefer the certainty of guaranteed recurrence-free days rather than risking no benefit with a 50% chance."
"p_1.00_ce_0_doctor_breast_cancer_80_reversed","doctor",1.0,1000,0,"gpt-4.1-mini","reversed",80,"breast_cancer","Option B","risky","I would choose the drug that guarantees 1000 recurrence-free days, prioritizing the certainty of a significant period without cancer recurrence."
"p_1.00_ce_500_doctor_prostate_cancer_60_reversed","doctor",1.0,1000,500,"gpt-4.1-mini","reversed",60,"prostate_cancer","Option B","risky","I prefer the longer recurrence-free period of 1000 days despite its certainty being the same as Option A, as maximizing quality time is my priority."
"p_0.50_ce_1000_family_prostate_cancer_80_reversed","family",0.5,1000,1000,"gpt-4.1-mini","reversed",80,"prostate_cancer","Option A","certain","At my age, I prefer certainty and guaranteed quality time without recurrence rather than risking no benefit at all."
"p_1.00_ce_500_doctor_gstric_cancer_80_forward","doctor",1.0,1000,500,"gpt-4.1-mini","forward",80,"gstric_cancer","Option A","risky","I prefer maximizing the certainty of longer recurrence-free survival, even if it may involve more risk, as it offers the best chance for an extended quality life period."
"p_1.00_ce_500_family_prostate_cancer_50_forward","family",1.0,1000,500,"gpt-4.1-mini","forward",50,"prostate_cancer","Option A","risky","I would choose the drug that provides the longest guaranteed recurrence-free period to maximize quality time without cancer recurrence."
"p_0.50_ce_0_family_colorectal_cancer_50_forward","family",0.5,1000,0,"gpt-4.1-mini","forward",50,"colorectal_cancer","Option A","risky","I prefer to take the chance of gaining significant recurrence-free days rather than accepting no benefit at all."
"p_0.00_ce_0_patient_breast_cancer_80_forward","patient",0.0,1000,0,"gpt-4.1-mini","forward",80,"breast_cancer","Option B","certain","Since Option A offers no chance of recurrence-free days, I prefer the certainty of Option B, accepting no benefit but avoiding false hope."
"p_1.00_ce_1000_patient_lung_cancer_80_forward","patient",1.0,1000,1000,"gpt-4.1-mini","forward",80,"lung_cancer","Option B","certain","Both options offer the same outcome, but Option B clearly guarantees the result with absolute certainty, which provides greater peace of mind."
"p_0.50_ce_0_patient_breast_cancer_60_reversed","patient",0.5,1000,0,"gpt-4.1-mini","reversed",60,"breast_cancer","Option B","risky","I prefer to take the chance of having a significant period without recurrence, even with uncertainty, rather than accepting no recurrence-free days for certain."
"p_0.00_ce_0_doctor_prostate_cancer_60_reversed","doctor",0.0,1000,0,"gpt-4.1-mini","reversed",60,"prostate_cancer","Option A","certain","Option A guarantees certainty with no recurrence-free days, while Option B offers no chance of benefit, making Option A the more rational choice despite its poor outcome."
"p_0.50_ce_0_patient_breast_cancer_70_forward","patient",0.5,1000,0,"gpt-4.1-mini","forward",70,"breast_cancer","Option A","risky","I prefer to take a chance on the possibility of gaining significant recurrence-free time rather than accepting none at all."
"p_0.00_ce_500_doctor_gstric_cancer_60_reversed","doctor",0.0,1000,500,"gpt-4.1-mini","reversed",60,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit with option B."
"p_0.00_ce_500_doctor_gstric_cancer_70_reversed","doctor",0.0,1000,500,"gpt-4.1-mini","reversed",70,"gstric_cancer","Option A","certain","I prefer the certainty of 500 recurrence-free days over a zero chance of 1000 days, valuing guaranteed quality time."
"p_0.00_ce_500_family_colorectal_cancer_70_forward","family",0.0,1000,500,"gpt-4.1-mini","forward",70,"colorectal_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking no benefit at all."
"p_1.00_ce_1000_doctor_prostate_cancer_50_reversed","doctor",1.0,1000,1000,"gpt-4.1-mini","reversed",50,"prostate_cancer","Option A","certain","Both options provide the same outcome with certainty, but Option A explicitly guarantees 1000 recurrence-free days, giving me clear confidence in its effectiveness."
"p_1.00_ce_500_family_breast_cancer_60_forward","family",1.0,1000,500,"gpt-4.1-mini","forward",60,"breast_cancer","Option A","risky","I prefer the longer guaranteed recurrence-free period of 1000 days, as it maximizes quality time and reduces uncertainty."
"p_0.50_ce_1000_doctor_breast_cancer_50_reversed","doctor",0.5,1000,1000,"gpt-4.1-mini","reversed",50,"breast_cancer","Option A","certain","I prefer certainty and guaranteed outcomes when it comes to my health, especially with a serious condition like advanced-stage breast cancer."
"p_0.00_ce_1000_family_prostate_cancer_50_reversed","family",0.0,1000,1000,"gpt-4.1-mini","reversed",50,"prostate_cancer","Option A","certain","I prefer the certainty of 1000 recurrence-free days to maximize quality and length of life without the risk of treatment failure."
"p_1.00_ce_1000_doctor_lung_cancer_70_forward","doctor",1.0,1000,1000,"gpt-4.1-mini","forward",70,"lung_cancer","Option B","certain","Both options effectively offer the same outcome with certainty, but the wording in Option B explicitly guarantees the result, providing clearer assurance."
"p_0.50_ce_500_patient_colorectal_cancer_80_forward","patient",0.5,1000,500,"gpt-4.1-mini","forward",80,"colorectal_cancer","Option B","certain","At my age, I prefer certainty and guaranteed quality time over a risky chance, so I choose the drug that guarantees 500 recurrence-free days."
"p_0.50_ce_500_doctor_prostate_cancer_60_forward","doctor",0.5,1000,500,"gpt-4.1-mini","forward",60,"prostate_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking getting nothing with a 50% chance, valuing guaranteed quality time."
"p_0.00_ce_1000_doctor_prostate_cancer_50_forward","doctor",0.0,1000,1000,"gpt-4.1-mini","forward",50,"prostate_cancer","Option B","certain","I would choose the guaranteed outcome of 1000 recurrence-free days to maximize certainty and quality of life."
"p_0.00_ce_0_doctor_colorectal_cancer_50_reversed","doctor",0.0,1000,0,"gpt-4.1-mini","reversed",50,"colorectal_cancer","Option A","certain","Option A guarantees no recurrence-free days, which is certain and predictable, whereas Option B offers no chance of benefit, making it a less rational choice."
"p_1.00_ce_500_doctor_lung_cancer_50_forward","doctor",1.0,1000,500,"gpt-4.1-mini","forward",50,"lung_cancer","Option A","risky","I prefer the certainty of a longer recurrence-free period, maximizing the quality and quantity of life despite advanced disease."
"p_0.50_ce_1000_patient_gstric_cancer_50_forward","patient",0.5,1000,1000,"gpt-4.1-mini","forward",50,"gstric_cancer","Option B","certain","I prefer the certainty of guaranteed recurrence-free days over the risk of getting no benefit, valuing stability in my treatment outcome."
"p_0.00_ce_1000_doctor_breast_cancer_50_reversed","doctor",0.0,1000,1000,"gpt-4.1-mini","reversed",50,"breast_cancer","Option A","certain","I prefer the certainty of guaranteed recurrence-free days to maximize quality and length of life without risk."
"p_0.50_ce_500_patient_gstric_cancer_60_forward","patient",0.5,1000,500,"gpt-4.1-mini","forward",60,"gstric_cancer","Option B","certain","I prefer the certainty of 500 recurrence-free days rather than risking getting nothing with a 50% chance."
